كفايات التنشئة الوطنية ومعاييرها للصفوف 3-4
1447هـ/ 2026م
كفايات ومعايير التنشئة الوطنية للصف الرابع الأساسي
[TABLE 1]
المجالات | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى خصائص الحياة في القرية الفلسطينية. | استنتاج الصفات العامة للقرية. | يوضح الصفات العامة للقرية بدقة، ويذكر أمثلة واضحة عن الحياة الريفية والطابع الزراعي.  / يقارن بوضوح بين مظاهر القرية والمدينة من حيث الحياة والخدمات والعمل والبيئة مستخدماً مفردات مناسبة.  / يُظهر تقديراً واضحاً للحياة الريفية ودورها في توفير الغذاء والمحافظة على التراث. | يوضح بعض صفات القرية بصورة عامة مع أمثلة محدودة.  / يقارن بين بعض مظاهر القرية والمدينة مع حاجة إلى مزيد من التوضيح.  /  يُظهر احتراماً وتقديراً للحياة الريفية في معظم المواقف الصفية. | يذكر معلومات بسيطة ومحدودة حول صفات القرية. / يحاول المقارنة بين القرية والمدينة ويحتاج إلى دعم وتوجيه. / يُظهر اهتماماً محدوداً بالحياة الريفية ويحتاج إلى تعزيز هذا الجانب.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى الخدمات والمرافق في القرية. | تحديد المرافق والخدمات في القرية. | يحدد المرافق والخدمات في القرية بدقة، ويذكر أمثلة متنوعة عليها ووظائفها. / يربط بوضوح بين المرافق واحتياجات سكان القرية، ويقدم أمثلة حياتية مناسبة ومتنوعة.  / يُظهر احتراماً واضحاً للمرافق والخدمات، ويلتزم بسلوكيات إيجابية للمحافظة عليها. | يحدد بعض المرافق والخدمات مع أمثلة محدودة.  / يربط بين بعض المرافق واحتياجات السكان مع حاجة إلى مزيد من التوضيح. / يُظهر احتراماً للمرافق والخدمات في معظم المواقف الصفية والحياتية. | يذكر معلومات بسيطة ومحدودة حول مرافق القرية وخدماتها. / يحاول الربط بين المرافق واحتياجات السكان ويحتاج إلى دعم وتوجيه. / يُظهر احتراماً محدوداً للمرافق والخدمات ويحتاج إلى تعزيز السلوك الإيجابي تجاهها.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | فهم طبيعة الحياة الاقتصادية والاجتماعية في القرية الفلسطينية. | تبيان الملامح الاقتصادية والاجتماعية لحياة سكان القرية. | يوضح طبيعة العمل والعلاقات الاجتماعية في القرية الفلسطينية بدقة، ويذكر أمثلة واضحة من الحياة اليومية.  / يربط بوضوح بين الأنشطة الاقتصادية وحياة السكان اليومية، ويقدم أمثلة حياتية دقيقة.  / يُظهر تقديراً واضحاً لقيم التعاون والعمل، ويشارك بإيجابية في الأنشطة الجماعية. | يوضح بعض ملامح العمل والعلاقات الاجتماعية في القرية بصورة عامة.  / يربط بين بعض الأنشطة الاقتصادية وحياة السكان مع حاجة إلى مزيد من التوضيح. / يُظهر احتراماً لقيم التعاون والعمل في معظم المواقف الصفية. | يذكر معلومات بسيطة ومحدودة حول طبيعة الحياة في القرية. / يحاول الربط بين الأنشطة الاقتصادية والحياة اليومية ويحتاج إلى دعم وتوجيه. / يُظهر تقديراً محدوداً لقيم التعاون والعمل ويحتاج إلى تعزيز السلوك الإيجابي.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى مفهوم المخيمات الفلسطينية وأسباب نشأتها. | معرفة مفهوم المخيم وأسباب وجود المخيمات الفلسطينية. | يوضح مفهوم المخيم وأسباب نشأته بدقة، ويصف أوضاع اللاجئين ومعاناتهم بشكل شامل وواضح مع أمثلة مناسبة.  / يقارن بوضوح بين حياة الفلسطينيين قبل وبعد التهجير من جوانب متعددة، ويربط بدقة بين الأحداث التاريخية وظهور المخيمات.  /  يذكر عام النكبة بدقة، ويعبر عن مشاعره تجاه الأحداث وحق العودة بوضوح وثقة.  /  يُظهر تعاطفاً واضحاً واحتراماً لحقوق اللاجئين، ويتفاعل بإيجابية مع القيم الإنسانية المرتبطة بها. | يوضح مفهوم المخيم وأسباب نشأته بصورة عامة، ويذكر بعض جوانب حياة اللاجئين.  / يقارن بين بعض الجوانب قبل وبعد التهجير مع حاجة إلى مزيد من التوضيح أو الربط.  / يذكر عام النكبة ويعبر عن بعض المشاعر بصورة عامة.  / يُظهر احتراماً وتعاطفاً في معظم المواقف الصفية. | يذكر معلومات بسيطة ومحدودة حول المخيمات أو اللجوء. / يحاول المقارنة والربط ويحتاج إلى دعم وتوجيه. / يذكر معلومات محدودة حول النكبة ويحتاج إلى دعم للتعبير. / يُظهر تعاطفاً محدوداً ويحتاج إلى تعزيز قيم الاحترام والتفهم.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | إدراك التحديات المعيشية في المخيمات الفلسطينية. | استنتاج ظروف الحياة الصعبة في المخيم. | - يوضح التحديات المعيشية في المخيمات بدقة، ويذكر أمثلة متعددة مثل الاكتظاظ وضعف الخدمات وقلة الموارد.  / - يحلل بوضوح أثر التحديات على حياة اللاجئين من جوانب مختلفة (الصحية، التعليمية، الاجتماعية).  / - يُظهر تعاطفاً واضحاً واحتراماً لصمود سكان المخيمات، ويتعامل مع الموضوع بروح إنسانية إيجابية. | يوضح بعض التحديات المعيشية في المخيمات بصورة عامة.  / يحلل بعض آثار التحديات مع حاجة إلى مزيد من التوضيح أو الأمثلة.  /  يُظهر احتراماً وتعاطفاً واهتماما بمعناة سكان المخيمات في معظم المواقف الصفية. | يذكر معلومات بسيطة ومحدودة حول التحديات في المخيمات. / يحاول تحليل آثار التحديات ويحتاج إلى دعم وتوجيه. / يُظهر تعاطفاً محدوداً ويحتاج إلى تعزيز قيم الاحترام والتفهم.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى المؤسسات والخدمات في المخيمات الفلسطينية. | ذكر المؤسسات الموجودة في المخيم | يسمي المؤسسات والخدمات في المخيمات بدقة، ويذكر أمثلة متنوعة مثل المدارس والمراكز الصحية ومراكز الإغاثة.  / يوضح دور المؤسسات والخدمات في دعم سكان المخيمات بوضوح مع أمثلة حياتية مناسبة.  / يُظهر تقديراً واضحاً لدور المؤسسات المجتمعية والإنسانية، ويشارك بإيجابية في احترامها ودعمها. | يسمي بعض المؤسسات والخدمات الموجودة في المخيمات مع أمثلة محدودة. / يوضح بعض أدوار المؤسسات في المخيمات بصورة عامة.  /  يُظهر احتراماً وتقديراً لدور المؤسسات في معظم المواقف الصفية. | يذكر معلومات بسيطة أو غير مكتملة حول المؤسسات والخدمات في المخيمات. / يحتاج إلى دعم وتوجيه لتوضيح دور المؤسسات. / يُظهر تقديراً محدوداً لدور المؤسسات ويحتاج إلى تعزيز الوعي بأهميتها.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى المخيمات الفلسطينية وتوزيعها الجغرافي. | التعريف ب أسماء مخيمات فلسطينية، وأماكن وجودها. | يسمي عدداً من المخيمات الفلسطينية بدقة، ويحدد أماكن وجودها بصورة صحيحة وواضحة.  / يستخدم الخريطة بدقة لتحديد مواقع المخيمات الفلسطينية واتجاهاتها بصورة صحيحة وواضحة.  /  يُظهر وعياً واضحاً بقضية اللاجئين الفلسطينيين، ويتعامل معها باحترام وتقدير. | يسمي بعض المخيمات الفلسطينية مع وجود أخطاء بسيطة في تحديد المواقع. / يستخدم الخريطة لتحديد بعض المخيمات مع حاجة إلى مزيد من التدريب أو التوجيه. / يُظهر وعياً عاماً بقضية اللاجئين في معظم المواقف الصفية. | يذكر عدداً محدوداً من المخيمات ويحتاج إلى دعم في تحديد أماكنها. / يحاول استخدام الخريطة لتحديد مواقع المخيمات ويحتاج إلى مساعدة مستمرة. / يُظهر وعياً محدوداً بقضية اللاجئين ويحتاج إلى تعزيز الفهم والاهتمام.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى نمط حياة البدو في فلسطين. | وصف حياة البدو من حيث: (المسكن، وطبيعة العمل، والتنقل)، ويذكر مناطق تجمعهم في فلسطين. | يوضح نمط حياة البدو وخصائصه بدقة، ويذكر معظم مناطق تجمعهم في فلسطين بصورة صحيحة.  / يقارن بوضوح بين حياة البدو والحضر أو الريف من حيث السكن والعمل والعادات والتقاليد باستخدام أمثلة دقيقة.  / يُظهر احتراماً واضحاً للتنوع الثقافي والاجتماعي، ويتقبل اختلاف أنماط الحياة بين البدو والحضر والريف. | يوضح بعض خصائص حياة البدو ويذكر بعض مناطق تجمعهم مع وجود نقص بسيط.  / يقارن بين بعض جوانب حياة البدو وأنماط الحياة الأخرى مع حاجة إلى مزيد من التوضيح.  / يُظهر احتراماً واهتماما للتعرف إلى حياة البدو في معظم المواقف الصفية والحياتية. | يذكر معلومات بسيطة أو غير مكتملة حول حياة البدو أو مناطق تجمعهم. / يحاول المقارنة بين أنماط الحياة ويحتاج إلى دعم وتوجيه. / يُظهر احتراماً محدوداً لحياة البدو.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | إدراك التحديات التي تواجه التجمعات البدوية الفلسطينية. | استنتاج أهم المشكلات التي تواجه البدو في فلسطين. | يوضح المشكلات التي تواجه البدو بدقة، ويذكر أمثلة واضحة مثل قلة الخدمات وصعوبات التنقل وقلة البنية التحتية. /  يقترح حلولاً وأفكاراً واقعية ومناسبة لتحسين حياة البدو ودعم التجمعات البدوية بوضوح.  / يُظهر تعاطفاً واضحاً واحتراماً لحقوق البدو، ويتعامل مع احتياجاتهم بروح إنسانية إيجابية. | يوضح بعض المشكلات التي تواجه البدو بصورة عامة مع أمثلة محدودة.  / يقترح بعض الأفكار البسيطة لدعم البدو مع حاجة إلى مزيد من التوضيح بمساعدة المعلم.  / يُظهر احتراماً وتعاطفاً بقضايا البدو في معظم المواقف الصفية. | يذكر معلومات بسيطة ومحدودة حول مشكلات البدو. / يحاول اقتراح أفكار لدعم البدو ويحتاج إلى توجيه ومساندة. / يُظهر تعاطفاً محدوداً ويحتاج إلى تعزيز قيم الاحترام والتفهم.
اقتصادي | التنمية الاقتصادية والمحافظة على الموارد | إدراك مفهوم الزراعة وأشكالها الأساسية. | الوعي بأن الزراعة تعني زراعة الأرض، وتربية الحيوانات. | يوضح مفهوم الزراعة وأشكالها الأساسية بدقة، ويقدم أمثلة متنوعة من البيئة الفلسطينية على الزراعة النباتية وتربية الحيوانات.  /  يصنف الأنشطة الزراعية بدقة إلى مجالاتها المختلفة، ويقدم أمثلة واضحة ومتنوعة من البيئة الفلسطينية. / يُظهر تقديراً واضحاً للعمل الزراعي ولدور المزارعين في توفير الغذاء ودعم المجتمع، ويعبر عن احترامه لجهودهم. | يوضح مفهوم الزراعة ويذكر بعض أشكالها وأمثلة محدودة من البيئة الفلسطينية.  / يصنف بعض الأنشطة الزراعية بصورة صحيحة مع حاجة إلى مزيد من التوضيح أو الأمثلة.  / يُظهر احتراماً وتقديراً للعمل الزراعي في معظم المواقف الصفية والحياتية. | يذكر معلومات محدودة عن الزراعة وأشكالها. /  / يحتاج إلى دعم لفهم الأنشطة الزراعية وتصنيفها. / يُظهر تقديراً محدوداً للعمل الزراعي ويحتاج إلى تعزيز الوعي بأهميته.
اقتصادي | التنمية الاقتصادية والمحافظة على الموارد | تقدير أهمية الزراعة في حياة المجتمع الفلسطيني. | تبيان أهمية الزراعة للمواطن الفلسطيني. | يوضح أهمية الزراعة بدقة، ويبين دورها في توفير الغذاء وتعزيز الاقتصاد الفلسطيني بأمثلة واضحة ومتنوعة.  / يربط بوضوح بين الزراعة واحتياجات الإنسان اليومية من الغذاء والكساء والمواد الخام، ويقدم أمثلة مناسبة من حياته اليومية.  / يُظهر اعتزازاً واضحاً بالأرض الفلسطينية، ويعبر عن تقديره لجهود المزارعين ودورهم في خدمة المجتمع. | يوضح أهمية الزراعة بصورة عامة، ويذكر بعض أدوارها في توفير الغذاء أو دعم الاقتصاد. / يربط بين بعض المنتجات الزراعية واحتياجات الإنسان مع حاجة إلى مزيد من التوضيح. /  يُظهر احتراماً وتقديراً للأرض الفلسطينية والمزارعين في معظم المواقف الصفية والحياتية. | يذكر معلومات محدودة عن أهمية الزراعة. /  يحتاج إلى دعم وتوجيه لربط الزراعة بحياة الإنسان اليومية. /  يُظهر تقديراً محدوداً لدور المزارعين ويحتاج إلى تعزيز قيم الانتماء والاعتزاز بالأرض.
اقتصادي | التنمية الاقتصادية والمحافظة على الموارد | تطبيق سلوكيات إيجابية للمحافظة على الزراعة. | التعرف على ممارسات تدل على الاهتمام بالزراعة. | يحدد الممارسات الصحيحة للمحافظة على الزراعة بدقة، ويبين أهمية كل منها في حماية البيئة الزراعية واستدامتها.  / يطبق السلوكيات الزراعية الإيجابية بانتظام في الأنشطة المدرسية أو المنزلية، مثل العناية بالنباتات وترشيد المياه والمحافظة على نظافة البيئة الزراعية.  / يُظهر مسؤولية واضحة وحرصاً على حماية البيئة الزراعية، ويشجع الآخرين على المحافظة عليها. | يحدد بعض الممارسات الصحيحة للمحافظة على الزراعة مع حاجة إلى مزيد من التوضيح. / يطبق بعض السلوكيات الزراعية الإيجابية في الأنشطة المدرسية أو المنزلية، بإرشاد المعلم. / يُظهر اهتماماً بالمحافظة على البيئة الزراعية في معظم المواقف الصفية والحياتية. | يذكر ممارسات محدودة مرتبطة بالزراعة.  / يحتاج إلى دعم لتطبيق السلوكيات الزراعية الصحيحة. / يُظهر اهتماماً محدوداً بالبيئة الزراعية ويحتاج إلى تعزيز قيم المسؤولية البيئية.
