كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثالث الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء | القيم
الأعداد حتى 99999 | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات والأنماط العددية | يقارنالأعداد ضمن99999باستخدام الرموز الرياضية | يوظف إشارات التباين / >، <، = للمقارنة بين عددين ضمن 5 منازل ، | يقارن بين أعداد متساوية أو مختلفة المنازل بطلاقة | يقارن بين أعداد مختلفة المنازل ويحتاج بعض التوجيه عند تساوي عدد المنازل | يقارن بين أعداد ضمن 999 بمساعدة المعلم | التفكير الاستدلالي، التفكير التحليلي، التفكير المنطقي، حب الاستكشاف، الدقة، المرونة الذهنية
الأعداد حتى 99999 | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات والأنماط العددية | يرتب الأعداد ضمن99999تصاعدياً وتنازلياً | يرتب مجموعة من الأعداد (تصاعدياً وتنازلياً) ضمن 5 منازل | يرتب مجموعة من الأعداد ضمن 5 منازل ترتيباً صحيحاً بطلاقة | يرتب مجموعة من الأعداد ضمن 5 منازل ويحتاج مساعدة عند وجود أعداد متقاربة أو أعداد متشابهة أو لها نفس عدد المنازل | يرتب مجموعةمن الأعداد ضمن 999 فقط ويحاول ترتيب أعداد ضمن 5 منازل بمساعدة | 
الأعداد حتى 99999 | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات والأنماط العددية | يستكمل الأنماط العددية ضمن 99999 | يصف قاعدة نمط عددي لأعداد ضمن 5 منازل لاستكمال الحدود المفقودة فيه | يكتشف قاعدة النمط العددي ويكمله بدقة وطلاقة مفسراً حله | يحلل النمط العددي ويكمله بشكل صحيح ويجد صعوبة في تفسيره | لا يمكنه تحليل النمط العدد ويحتاج مساعدة في كتابة الحدود المفقودة في النمط | 
الأعداد حتى 99999 | ممارسة الدقة الرياضية | استخدام الرموز والعلاقات العددية بدقة | يستخدم الرموز / (>،<،=) / بصورة صحيحة | يختار الرمز الرياضي المناسب لتصبح جملة المقارنة صحيحة | يوظف رموز المقارنة بدقة متناهية مبررا اختياره تبريرا رياضيا منطقيا | يوظف الرموز الرياضية في المقارنة بشكل صحيح مع احتمال أخطاء في اتجاه الإشارة أو في الأعداد ذات عدد المنازل المختلفة | يوظف الرموز الرياضية في المقارنة بمساعدة ويحتاج لنمذجة محسوسة للمقارنة | الدقة، التفكير المنطقي، التجريد الرياضي، التنظيم، الانتباه
الأعداد حتى 99999 | ممارسة الدقة الرياضية | استخدام الرموز والعلاقات العددية بدقة | يعبر عن العلاقات العددية بلغة رياضية دقيقة | يستخدم المصطلحات (أكبر من، أصغر من، يساوي، القيمة المنزلية) بشكل سليم | يعبر عن العلاقات العددية بلغة سليمة موظفا مصطلحات رياضية دقيقة | يستخدم لغة بسيطة للتعبير عن العلاقات العددية ويحتاج لتطوير المصطلحات الرياضية | يستخدم لغة عامة ويحتاج لتوجيه لاستخدام المصطلحات الرياضية | 
الأعداد حتى 99999 | ممارسة الدقة الرياضية | استخدام الرموز والعلاقات العددية بدقة | يوظف الترتيب المنزلي للأعداد ضمن 99999 في المقارنة بينها | يرتب الاعداد المراد مقارنتها تحت بعضها وفقاً لمنازلها (عشرات الآلاف-آحاد الآلاف-مئات-عشرات-آحاد)تمهيداً للمقارنة | يرتب الاعداد المراد مقارنتها تحت بعضها وفقاً لمنازلها بدقة تامة لإجراء المقارنة | يرتب الاعداد المراد مقارنتها تحت بعضها لمقارنتها ويحتاج الى لوحة منازل لمحاذاة المنازل بشكل صحيح | يكتب الاعداد المراد مقارنتها بشكل عشوائي دون مراعاة الترتيب المنزلي ويحتاج لنمذجة محسوسة (الأجسام الحسابية) وشبه محسوسة(لوحة المنازل لترتيبها | 
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية | يفسر الجمع بوصفه ضماً(مجموعات من نفس النوع) | يربط عملية الجمع بمواقف حياتية تتضمن ضم مجموعات متشابهة من نفس النوع | يفسر الجمع كعملية زيادة وضم لمجموعات منفصلة من نفس النوع في سياق واقعي | يمثل عملية الجمع كضم لمجموعات محسوسة ( عيدان/معداد..) ويطور تفسيره باستخدام التمثيلات البصرية(صور ورسوم) | يحاول فهم الجمع من خلال العد المباشر والضم البسيط لمجموعات محسوسة بمساعدة وتوجيه | التفكير المفاهيمي، التفكير المنطقي، التفكير التحليلي، الدقة، حب الاستكشاف، التعاون، تقدير قيمة العمل
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية | يفسر الطرح بوصفه إزالة أو فرقاً(مجموعات من نفس النوع) | يربط عملية الطرح بمواقف حياتية تتضمن الأخذ أو إيجاد الفرق | يفسر الطرح كإزالة أو فرق بين قيمتين(من نفس النوع) بطلاقة لغوية ورياضية | يمثل الطرح كعملية إزالة من مجموعات محسوسةأو شبه محسوسة(من نفس النوع)ويطور أداءه لتفسير مفهوم الطرحبشكل مجرد | يجد صعوبة في تمييز الطرح كإزالة أو حذف ويحتاج الى تمثيل محسوس وتوجيه مباشر | 
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية | يربط بين الجمع والطرح كعمليتين مترابطتين (عكسيتين) | يوظف العلاقة العكسية بين الجمع والطرح للتحقق من صحة ناتج هذه العمليات ضمن 99999 | يوظف العلاقة العكسية بين الجمع والطرح للتحقق من صحة حله بدقة مبرراً الحل بشكل صحيح | يدرك وجود علاقة ويحتاج المساعدة في تطبيق التحقق من صحة الطرح بالجمع كتابياً | يعرف العلاقة بينهما نظرياً لكنه لا يوظفها عملياً في التحقق | 
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي |  | يستنتجخاصية التبديل في عملية الجمع | يطبق خاصية التبديل في الجمع ملاحظة اثبات الناتج | يوظفخاصية التبديل كطريقة للتحقق من صحة نواتج الجمع بسرعة | يطبق التبديل ويحتاج لتوجيه لربطه بالتحقق من صحة جمع عددين. | يحاول تبديل الأماكن دون إدراك للغرض من الخاصية ويحتاج لمساعدة في إعادة إجراء الجمع. | 
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي | توظيف التقدير للتحقق من المعقولية | يقرب الأعداد لأقرب منزلة مناسبة | يقرب أعداداً معطاة لأقرب (10، 100، 1000، 10000) | يقرب لأي منزلة معطاة ذهنياً بدقة وطلاقة | يقرب باستخدام القاعدة المنطقية مع مساعدة عند استخدام خط الأعداد | يحاول تقريب الأعداد لأقرب 10 أو 100 فقط | التفكير الناقد، الدقة، اتخاذ القرار، تقدير قيمة العمل
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي | توظيف التقدير للتحقق من المعقولية | يقدر ناتج العملية(جمع وطرح) باستخدام التقريب قبل الحل | يقدر نواتج الجمع والطرح بالتقريب لأعلى منزلة معطاة | يقدر ناتج العمليات ذهنياً بدقة وطلاقة | يقدر ناتج الجمع أو الطرح باستخدام قاعدة التقريب والورقة والقلم | يحاول تقدير الناتج ويحتاج لتوجيه لتطبيق قاعدة التقريب أولاً | 
الجمع والطرح حتى 99999 | ممارسة التفكير الكمي والتجريدي | توظيف التقدير للتحقق من المعقولية | يقارن الناتج الفعلي بالناتج التقديريلفحصالمعقولية | يقارن بين الناتج الحقيقي والناتج المقرب للتأكد من معقولية الحل | يفسر معقولية الجواب بناءً على العلاقة بينقيمة الناتجين الفعلي والتقديري | يجري المقارنة ويطور قدرته في الحكم على منطقية الناتج | يحاول المقارنة ولا يستطيع الحكم على معقولية الجواب | 
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | تحليل معطيات المسألة الرياضية | يحدد المعطيات والمطلوبفي مسائل عددية | يستخرج المعلومات الأساسية والمطلوب حله من مسألة لفظية | يحلل المعلومات العددية لتحديد المعطيات والمطلوب بدقة تامة | يعبر عن المسألة بأسلوبه ويحدد المعطيات ويطور قدرته في تحديد المطلوبفي المسائل التي تتضمن معلومات زائدة | يواجه صعوبة في تحديد المعطيات والمطلوب | التفكير التحليلي، التفكير الناقد، الأمانة العلمية، المسؤولية، تقدير قيمة العمل، المثابرة ، الأمانة العلمية، التعاون واحترام آراء الآخرين
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | تحليل معطيات المسألة الرياضية | يحدد العملية المناسبة للحل | يختار العملية الحسابية (جمع/طرح) بناءً على فهم الموقف الحياتي | يحدد العمليات التي سيقوم بها ضمن مخططاً قابلاً للتنفيذ مبررا اختياره | يضع مخططاً لحل المسألة يتضمن بعض مراحل الجمع والطرحولا يمكنه تفسير اختياره لعملية ما دون غيرها او تبرير ذلك | يحاول اختيار عملية ويخطئ غالباً في التمييز بينهما | 
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | تحليل معطيات المسألة الرياضية | يعيد صياغة المسألة بلغته الخاصة | يعبر عن المسألة الحسابية بأسلوبه الشخصي بلغة رياضية دقيقة | يصيغ المسألة بلغة رياضية سليمة تعكس فهماً عميقاً للمحتوى | يصيغ المسألة بلغته الخاصة ومفردات عامية ويطور قدرته في استخدام المصطلحات الرياضية لإعادة الصياغة | يحاول إعادة الصياغة ويحتاج لمساعدة المعلم في ترتيب الأفكار | 
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات مناسبة للحل | يستخدم القيمة المكانية في اجراء عمليتي الجمع والطرح | يفكك الاعداد الى منازلها (آحاد-عشرات-مئات-آلاف--- لايجاد ناتج الجمع والطرح | يحل الجمع والطرح بدقة باستخدام القيمة المكانية وتحليل الاعداد دون اخطاء | يستخدم تفكيك الاعداد بشكل صحيح في معظم الحالات مع أخطاء بسيطة في بعض المنازل | يواجه صعوبة في تفكيك الاعداد حسب المنازل ويحتاج دعم مباشر | التفكير الناقد، اتخاذ القرار، المثابرة، المسؤولية، الثقة بالنفس،المواطنة الصالحة
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات مناسبة للحل | يختار استراتيجية مناسبة للحل | يحدد الاستراتيجية المناسبة لحل مسألة جمع أو طرح ضمن5 منازل | يحدد الاستراتيجية المناسبة لحل المسألة بدقة واستقلالية مبررا اختياره بصورة منطقية | يحدد الاستراتيجية المناسبة في معظم الحالات ويحتاج الى توجيه بسيط عند وجود اكثر من استراتيجية ممكنة للحل | يواجه صعوبة في اختيار الاستراتيجية المناسبة للحل ويحتاج الى دعم مباشر لتحديدها | 
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات مناسبة للحل | يحل مسائل رياضية (جمع وطرح ضمن 5 منازل) باستخدام طرق متعددة | يحل المسألة الواحدة بطرق متنوعة (ذهني-كتابي-نماذج) | يحل المسألة الواحدة بطرق متنوعة (ذهني-كتابي-نماذج) بشكل دقيق ودون الحاجة لأي دعم | يحل المسألة بأكثر من طريقة في معظم الحالات لكنه يحتاج الى توجيه بسيط لاختيار الطريقة الثانية أو يخطئ في احدى الطريقتين | يحل المسألة بطريقة واحدة فقط (غالباً الطريقة التقليدية) ويحتاج لنمذجةوتوجيه مستمر للتوصل لحلها | 
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | يتحقق من معقولية صحة حلمسائل في مجال الأعداد والعمليات عليه باستخدام الحل العكسي أو التقدير) | يتحقق من صحة الحل باستخدام الحل العكسي أو التقدير في مواقف متنوعة | يتحقق من صحة ناتجه النهائي مستخدماً طريقة بديلة (كالحل العكسي أو التقدير) مبرراصحة إجابته بدقة واستقلالية | يتحقق من صحة ناتجه النهائي مستخدماً طريقة واحدة (الحل العكسي أو التقدير مع توجيه من المعلم. | يواجه صعوبة في التحقق من صحة الحل ويحتاج إلى توجيه مستمر لاكتشاف الأخطاء وتصحيحها | الدقة، الاتقان، الأمانة العلمية، المسؤولية، المثابرة، تقدير قيمة العمل والعلم ، الاجتهاد
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها |  | يراجع خطوات حل / مسائل في مجال الأعداد والعمليات عليها | يراجع خطوات حل المسألة للتأكد من صحة الإجراءات المتبعة | يراجع جميع الخطوات الرياضية التي اتبعها بالتسلسل لضمان خلوها من الأخطاء وبشكل مستقل. | يراجع خطواته بشكل سطحيمحاولا تتبعها لمعرفة أين أخطأويجد صعوبة في تصحيح مساره | لا يعيد النظر في خطوات الحل.ويحتاج توجيها مستمرامن المعلم. | 
الجمع والطرح حتى 99999 | ممارسة فهم المسألة والمثابرة في حلها |  | يفسر الناتج في ضوء المسألة | يفسر الناتج النهائي في سياق المسألة المعطاة لمسائل على مجال الأعداد والعمليات عليها. | يفسّر الناتج العددي النهائي بسياق المسألة، معبرا عنه بتمييز صحيح وبوعي تام | يفسر الناتج كعدد مجرد، ويحتاج لتوجيه ليربطه بسياق المسألة وقد يكون مميز أو الناتج غير دقيق. | يكتب ناتجاً نهائياً دون أي تفسير لما يمثله هذا الناتج في الواقع أو في المسألة المطروحة. | 
 | ممارسة الدقة الرياضية | تنظيم خطوات الحل الرياضي بدقة | يجد ناتج الجمع مع الحملضمن 5 منازل | يجد ناتج جمع عددين على الأقل ضمن 5 منازل مع الحمل عموديا وأفقيا | يجد ناتج جمع عددين على الأقل ضمن 5 منازل مع الحملبسرعة ودقة تامة | يجد ناتج جمع عددين على الأقل ضمن 5 منازل مع الحملوقد يخطئ عند اختلاف عدد المنازل | يجد ناتج جمع عددين ضمن 5 منازل دونحملويحاول ايجاد ناتج جمع عددين مع الحملولكنهيخطئ في اجراءات الحمل | التنظيم، الدقة، التفكير المنطقي، الاتقان، المثابرة
 | ممارسة الدقة الرياضية | تنظيم خطوات الحل الرياضي بدقة | يجد ناتج الطرح مع الاستلافضمن 5 منازل | يجد ناتج طرح عددين ضمن 5 منازل مع الاستلاف | يجد ناتج الطرح معالاستلافلعددين ضمن 99999بدقة وسرعة موضحا إجراءات الحل | يجد ناتج الطرح ضمن 5 منازل مع الاستلافويجد صعوبة في الاستلاف من أكثر من منزلة أو الاستلاف لأعداد بعض منازلها أصفار | يجد ناتج الطرح ضمن 5 منازل دون استلاف، ويحاول إيجادها بالاستلاف ولكنه يخطئ في إجراءاته (مثل نسيان إنقاص 1 من المنزلة المستلف منها | 
 | ممارسة الدقة الرياضية | تنظيم خطوات الحل الرياضي بدقة | ينظم خطوات الحل كتابياً | يكتب خطوات العملية الحسابية بشكل منظم ومرتب | ينظم خطوات الحل كتابياً بدقة متناهية في ترتيب المنازل ووضوح تاملمراحل الاستلاف | يكتب خطوات العملية الحسابية ويحتاج لتذكير بالترتيب للمنازل | يكتب حلا عشوائيا دون إظهار الخطوات أو التنظيم | 
 | بناء الحجج الرياضية ونقد تفكير الآخرين | تحليل ونقد الحلول الرياضية | يكتشف الخطأ في حل معطى في عملية حسابية / ضمن 5 منازل | يكتشف الخطأ في حل معطى لعمليةحسابية مفسراً سبب الخطأ ومبرراً الحل الصحيح | يكتشف الخطأ في حل معطى لعملية حسابيةللجمع أو الطرحمقدما تفسيرا رياضيا للخطأ وتبريرا منطقيا للحل الصحيح | يكتشف الخطأ في حل معطى لعملية حسابية ويعمل على تصحيحه ويجد صعوبة في التفسير أو التبرير ، | قديميز الحل الصحيح(يعرف أيهما صح)، ويحاول أن يكتشف الخطأ في الحل ويجد صعوبة في التبريرللحل الصحيح | التفكير الناقد، الدقة، الأمانة العلمية، المثابرة والصبر ، اتخاذ القرار
الضرب | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية(الضرب) | يفسر الضرب بوصفه تمثيلا رياضيا لمجموعات متساوية ضمن النطاق(10×10) | يحلل جملة الضرب رمزياً مفسراً دلالة كل عامل (عدد المجموعات و عدد العناصر في كل مجموعة) ويربطها بالكمية الكلية الناتجة | يفسر دلالة عملية الضرب بطلاقة ويميز بدقة واستقلالية بين (عدد المجموعات و عدد العناصر في كل مجموعة) ضمن نطاق (10×10 )مبرراً منطقية الناتج بوصفه كمية كلية | يفسر دلالة الضرب في النطاقات المألوفة حتى (5×5) ويحتاج لتوجيه عند التعامل مع الحقائق الاكبر جداول(6-9) وللتمييز بين عدد المجموعات وعدد العناصر | يعتمد على الجمع المتكرر البسيط لفهم معنى الضرب ويواجه صعوبة في التمييز بين عناصر جملة الضرب دون استخدام المحسوسات | 
الضرب | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات العددية المختلفة | ينتقل بين المواقف الواقعية وتمثيلاتها الرمزية في الضرب والعكس | يمثل مواقف حياتية بجمل ضرب رمزية ويفسر جمل الضرب المعطاة بمواقف أوتمثيلات مناسبة مستخدما لغة رياضية دقيقة | ينتقل بدقة واستقلالية بين الموقف الواقعي وجملة الضرب الرمزية ضمن نطاق (10×10) موضحا العلاقة بينهما بصورة صحيحة | ينتقل بين الموقف الواقعي وجملة الضرب الرمزية في المواقف المألوفة بصورة صحيحة غالبا ويحتاج الى بعض التوجيه للربط بينهما بدقة | يعتمد على الرسوم او المحسوسات لتمثيل مواقف الضرب ويواجه صعوبة في تحويل الموقف الى جملة ضرب رمزية او ربط الجملة الرمزية بموقف مناسب دون مساعدة | التفكير التكاملي، الدقة، التنظيم، الانتباه، المرونة الذهنية
الضرب | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يمثل الضرب كمجموع متكرر | يحول جملة الجمع المتكرر إلى جملة ضرب وبالعكس | يربط بين الجمع المتكرر والضرب بطلاقة في مواقف متنوعة | يمثل الضرب كجمع متكرر بالاستعانة بالرسوم التوضيحية | يحاول العد المتكرر ويحتاج لمساعدة في صياغة جملة الضرب | التفكير الاستقرائي، حب الاستكشاف ، المرونة الذهنية، العمل الجماعي، احترام آراء الآخرين0
الضرب | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يستخدم التمثيل بالمحسوس وشبه المحسوسفي تفسير الضرب | يمثل جملة الضرب باستخدام المحسوس أو شبه المحسوس وينظم العناصر في أشكال تساعده على إيجاد الناتج بشكل أسهل وأسرع مثلا ترتيبها على شكل الصفوف والأعمدة (المصفوفة). | يبني مصفوفات دقيقة تعبر عن حقائق الضرب مفسرا على ماذا تدل الصفوف والأعمدة فيها وعلاقة ذلك بعدد العناصر وعدد المجموعات | يحدد عدد الصفوف والأعمدة في مصفوفة جاهزة موظفا ذلك فيتفسير مفهوم الضرب / ويطور أداءهفي تنظيم العناصر ضمن صفوف وأعمدة لتمثيل جمل الضرب | يحاول رسم مصفوفة ويخطئ في توزيع العناصر بالتساوي | 
الضرب | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يربط بين المضاعفات والضرب | يجد مضاعفات الأعداد ويربطها بحقائق الضرب | يستنتج مضاعفات العدد بطلاقة ويوظفها في حل العملياتالحسابية على مفهوم الضرب | يجد المضاعفات باستخدام العد القفزيويطورقدرته في ربطها بمفهوم الضرب | يحاول إيجاد المضاعفات بالجمع المتكرر البسيط | 
الضرب | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يكتشف الأنماط في جداول الضرب | يحدد الأنماط العددية الناتجة عن ضرب الأعداد | يصف أنماط جداول الضرب ويوظفها في الحساب الذهني | يلاحظ وجود نمط في الجدول ويحتاج مساعدة في وصف قاعدته | يحاول تتبع الأرقام في الجدول دون إدراك النمط التكراري | 
الضرب | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يحل جمل مفتوحة على الضرب حتى 10×10 | يحل جمل مفتوحة على الضرب حتى 10×10 | يحل جمل مفتوحة على الضرب حتى 10×10 بإيجاد العدد المفقود (سواء كان المربع الفارغ في الأول أو الوسط أو المربعين فارغين) بشكل صحيح وسريع، مستخدماً مهارات عقلية كالعد القفزي أو الجمع المتكرر | يحل جمل مفتوحة على الضرب حتى 10×10 بشكل صحيح عندما يكون المربع الفارغ في وسط الجملة، ولكنه يتردد أو يخطئ عندما يكون في البداية، أو يحتاج لتذكيره بالخطوات واستخدام المحسوسات | يحل جمل مفتوحة على الضرب حتى 10×10 عشوائياً دون إدراك للمطلوب | 
الضرب | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات التكرارية في العمليات | يفسر العلاقات العددية بين مضاعفات الأعداد | يربط بين مضاعفات الأعداد المختلفة (مثل مضاعفات 2و4) | يفسر العلاقة بين مضاعفات الأعداد ويوظفها لتبسيط الحل | يلاحظ التشابه بين مضاعفات بعض الأعداد ويطورأداءه في تفسير العلاقة بين مضاعفاتها | يحاول إيجاد المضاعفات بشكل منفصل لكل عدد | 
الضرب | ممارسة التعميم من التكرار | استنتاج القواعد العددية من الأنماط | يستنتج خصائص الضرب | يطبق خاصية التبديل / في الضرب ملاحظاً ثبات الناتج | يستنتج خاصية التبديل في الضرب كطريقة للتحقق من صحة نواتج الضرب بسرعة وكفاءة | يطبق خاصية التبديل في الضرب ويحتاج لتوجيه لربطها بالتحقق من صحة نواتج الضرب. | يحاول تبديل عوامل الضرب دون إدراك للغرض من خاصية التبديل ويحتاج لدعم لفهمها وتوظيفها. | التفكير الناقد والأمانة العلمية ، حب الاستكشاف، الدقة، المسؤولية، تذوق الجمال الرياضي، تنمية تقدير الذات
 |  |  |  | يستخدم خاصية العنصر المحايد(الضرب في 1) وخاصية الصفر(الضرب في صفر). | يستخدم خاصيتي العنصر المحايد والصفر بدقة وبدون تردد مدركا أن *ضرب أي عدد في 1 يعطي العدد نفسه / *ضرب أي عدد في صفر يعطي صفرا | يستخدم خاصيتي العنصر المحايد والصفر بشكل صحيح عند ضرب الأعداد الصغيرة في (1) أو (0)، لكنه يتردد أو يخطئ عندما تكون الأعداد كبيرة. | يخلط بين مفهومي الضرب والجمع (مثال: 7×0=7، 6×1= 7) | 
