كفايات التربية الإسلامية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
كفايات الصف الأول
[TABLE 1]
الكفايات الرئيسة | الكفايات الفرعية | المعايير | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء
التحلي بالأخلاق الإسلامية الحنيفة من خلال ممارسات تعزز الوعي الديني، وتؤكد المسؤولية الفردية والجماعية. | ممارسة الأنشطة الرياضية بانتظام لتعزيز الصحة الجسدية والنفسية وتنمية قيم التعاون والانضباط | ممارسة الأنشطة الرياضية والمحافظة على الصحة والنظافة والانضباط. | يشارك بالأنشطة الرياضية بانتظام ملتزماً بالتعاون والانضباط. | يشارك بالأنشطة الرياضية غالباً مع التزام مقبول بالتعليمات. | يشارك بالأنشطة الرياضية مشاركة محدودة، ويحتاج متابعة مستمرة.
التحلي بالأخلاق الإسلامية الحنيفة من خلال ممارسات تعزز الوعي الديني، وتؤكد المسؤولية الفردية والجماعية. | المحافظة على نظافة البيئة المدرسية. | المحافظة على نظافة البيئة المدرسية والمشاركة في حمايتها من العبث والتلوث. | يحافظ على نظافة البيئة المدرسية باستمرار وبمبادرة ذاتية. | يحافظ على نظافة البيئة المدرسية غالباً مع تذكير بسيط. | يهمل نظافة البيئة المدرسية، ويحتاج إلى متابعة متكررة.
التحلي بالأخلاق الإسلامية الحنيفة من خلال ممارسات تعزز الوعي الديني، وتؤكد المسؤولية الفردية والجماعية. | التعاون مع الزملاء في الأنشطة المختلفة | المشاركة الإيجابية مع الزملاء بروح التعاون والاحترام | يتعاون مع زملائه بإيجابية واحترام في جميع الأنشطة. | يتعاون مع زملائه في غالبية الأنشطة مع بعض التوجيه. | يجد صعوبة في التعاون، ويحتاج دعماً مستمراً.
تبني القيم الأخلاقية والاجتماعية لتعزيز التواصل الإيجابي والتفاعل المسؤول مستلهماً تعاليم الإسلام وجمال التنوع. | ممارسة سلوكات تعكس محبة الناس والحرص على خدمتهم | تطبيق سلوكات إيجابية قائمة على الاحترام والمحبة والتعاون مع الآخرين | يتعامل بمحبة واحترام ويقدم المساعدة للآخرين باستمرار. | يتعامل بإيجابية مع الآخرين غالباً. | يظهر تعاوناً محدوداً، ويحتاج توجيهاً مستمراً.
تبني القيم الأخلاقية والاجتماعية لتعزيز التواصل الإيجابي والتفاعل المسؤول مستلهماً تعاليم الإسلام وجمال التنوع. | التأمل في خلق الله تعالى ومظاهر الكون | ملاحظة مظاهر قدرة الله في الكون والتعبير عن الإعجاب بها | يتأمل مخلوقات الله ويعبر عن عظمة الخالق بوعي واضح. | يلاحظ مظاهر الكون ويعبر عنها بصورة بسيطة. | يلاحظ المظاهر دون ربطها بعظمة الخالق.
تمثل أركان الإسلام الخمسة سلوكاً وفكراً. | ترديد الشهادتين وفهم دلالتهما العامة | ترديد الشهادتين واستحضار معناهما المرتبط بتوحيد الله تعالى وبنبوّة رسوله | يردد الشهادتين بوعي ويفهم دلالتهما العامة بوضوح. | يردد الشهادتين ويفهم معناهما فهماً عاماً دون تعمّق. | يردد الشهادتين تلقيناً دون فهم واضح للمعنى.
تمثل أركان الإسلام الخمسة سلوكاً وفكراً. | إدراك أثر أركان الإسلام الخمسة في حياة الفرد والمجتمع | تعداد أركان الإسلام وبيان مظاهر تطبيقها في الحياة اليومية | يعدد أركان الإسلام ويبين تطبيقاتها في الحياة اليومية بدقة. | يعدد معظم أركان الإسلام ويفهم بعضها فهماً عاماً. | يخلط بين أركان الإسلام، ويحتاج دعماً مستمراً.
تمثل أركان الإسلام الخمسة سلوكاً وفكراً. | التفاعل الإيجابي مع الزملاء في الأنشطة الجماعية | المشاركة في الأنشطة الجماعية بروح التعاون والاحترام المتبادل بتمثل أركان الإسلام | يشارك في الأنشطة الجماعية الخاصة بأركان الإسلام بروح التعاون والاحترام المتبادل. | يشارك في بعض الأنشطة الجماعية الخاصة بأركان الإسلام. | يشارك في الأنشطة الجماعية الخاصة بأركان الإسلام مشاركة محدودة.
تجسيد سلوكات دينية متنوعة في الحياة اليومية. | إظهار التعاطف مع الزملاء والتفاعل معهم من خلال سلوكات دينية متنوعة. | تمثّل القيم الدينية في تعزيز الروابط الأخوية ودعم الزملاء سلوكياً وإنسانياً. | يطبّق السلوكات الدينية الداعمة لزملائه ذاتياً وباستمرار. | يطبّق السلوكات الدينية الداعمة لزملائه بتوجيه من المعلم. | يطبّق بعض السلوكات الدينية الداعمة للآخرين بتوجيه من المعلم.
تجسيد سلوكات دينية متنوعة في الحياة اليومية. | استنتاج مظاهر رحمة الله بمخلوقاته من خلال مواقف حياتية وقصص نبوية متنوعة. | إدراك مظاهر رحمة الله بمخلوقاته من خلال المواقف الحياتية والقصص النبوية (رعاية الله تعالى لرسولنا الحبيب ﷺ بعد وفاة أبيه ثم أمه ). | يدرك مظاهر رحمة الله بمخلوقاته من خلال المواقف الحياتية والقصص النبوية. | يدرك مظاهر رحمة الله بمخلوقاته من خلال بعض المواقف الحياتية والقصص النبوية. | يدرك مظاهر رحمة الله بمخلوقاته من خلال بعض المواقف الحياتية فقط.
تجسيد سلوكات دينية متنوعة في الحياة اليومية. | التعامل بلطف مع الحيوانات واقتراح سبل لحمايتها من خلال مواقف متنوعة. | إظهار الرفق بالحيوان في سلوكه، وابتكار حلول عملية لحمايته ورعايته في المواقف المختلفة. | يمارس الرفق بالحيوان في سلوكه، ويبتكر حلولاً عملية ومستدامة لحمايته ورعايته. | يمارس الرفق بالحيوان في سلوكه، ويقترح بعض الأفكار العامة لحمايتها عند توجيهه. | يمارس الرفق بالحيوان في سلوكه فقط، دون اقتراح أفكار لحمايته.
تجسيد سلوكات دينية متنوعة في الحياة اليومية. | التعبير شفهياً عن حبّ رسول الله باستخدام تعابير وجدانية وأساليب فنية ( نشيد، قصة، رسم، ...) تعزز الهوية الإسلامية. | إبراز محبة الرسول ﷺ شفهياً وفنياً بممارسات أدائية تعزز الهوية الإسلامية. | يتحدث بطلاقة شفهياً، مستخدماً الفنون المتنوعة بتميّز لتعزيز هويته الإسلامية. | يتحدث بوضوح شفهياً، مستخدماً بعض الفنون لتعزيز هويته الإسلامية. | يتحدث شفهياً مع تلعثم، مستخدماً بعض الفنون لتعزيز هويته الإسلامية.
تجسيد سلوكات دينية متنوعة في الحياة اليومية. | محاكاة أفعال النبي في مواقف حياتية متنوعة وإظهار الالتزام بها سلوكياً. | امتثال الهدْي النبوي وتطبيق أفعاله ﷺ في المواقف الحياتية المختلفة تطبيقاً مستداماً. | يطبّق السلوكات النبوية تلقائياً في مواقفه اليومية المختلفة دون حاجة لتذكير. | يطبّق أفعال النبي ﷺ في مواقف محددة عندما يذكّره المعلّم بها. | يطبّق الخطوات الأساسية للفعل النبوي بمساعدة المعلم خلال المحاكاة الصفية.
تعزيز الانتماء الوطني والديني عبر تقدير الأرض المباركة وتمثل القيم الإسلامية في السلوك اليومي. | المشاركة في زراعة نباتات وأشجار في حديقة المدرسة معزِّزاً قيمة النظافة والوعي البيئي. | المساهمة الفعّالة في تشجير حديقة المدرسة وتبنّي الممارسات البيئية السليمة لحمايتها. | يشارك في الزراعة ذاتياً، ويحافظ على النظافة العامة للحديقة دون توجيه. | يشارك في زراعة النباتات، ويلتزم بتنظيف مكانه عند تذكيره فقط. | يشارك في الزراعة البسيطة بمساعدة، ويحاكي زملائه في جمع المخلفات عند الطلب.
تعزيز الانتماء الوطني والديني عبر تقدير الأرض المباركة وتمثل القيم الإسلامية في السلوك اليومي. | الاقتداء بسلوك الرسول في التعامل مع البيئة والمخلوقات. | تنفيذ الممارسات البيئية الراشدة المستندة إلى الهدي النبوي الشريف وتعميمها سلوكياً. | يجسّد السلوك البيئي النبوي في ممارساته اليومية ذاتياً، ويتبنّى حماية المخلوقات كقيمة ثابتة. | يجسّد السلوك البيئي النبوي في ممارساته اليومية بتوجيه من المعلم. | يجسّد السلوك البيئي النبوي في بعض ممارساته اليومية بتوجيه من المعلم.
تعزيز الانتماء الوطني والديني عبر تقدير الأرض المباركة وتمثل القيم الإسلامية في السلوك اليومي. | التعبير عن حبّ الله وشكره على نعمه | الامتنان لنعم الله تعالى وإبراز محبته وشكره قولاً وعملاً. | يظهر حبّ الله وشكره دائماً في أقواله وأفعاله اليومية مستشعراً فضله. | يظهر حبّ الله وشكره غالباً عند ربط النعم ببعض المواقف التعليمية. | يظهر حبّ الله وشكره دون ربط النعم ببعض المواقف التعليمية.
تعزيز العلاقة بالله تعالى والاقتداء بالنبي ﷺ لتعزيز القيم الإسلامية. | استحضار الأدعية النبوية في المواقف اليومية بلغة صحيحة وسلوك واعٍ. | توظيف الأدعية النبوية المأثورة لفظاً وسلوكاً في المناسبات والمواقف الحياتية المألوفة. | يستحضر الأدعية النبوية في مواقفه اليومية بدقة وبلغة صحيحة وسلوك واعٍ. | ستحضر معظم الأدعية النبوية ويستخدمها غالباً. | يستحضر أدعية محدودة بتردد واضح.
تعزيز العلاقة بالله تعالى والاقتداء بالنبي ﷺ لتعزيز القيم الإسلامية. | محاكاة سلوك النبي بما يعكس فهم تعاليم الدين الإسلامي. | تطبيق السلوكات النبوية الواعية كانعكاس لفهم مبادئ الدين الإسلامي، وتعاليمه. | يتمثل سلوك النبي ﷺ مرسخاً تعاليم الدين بدقة. | يتمثّل سلوك النبي ﷺ في مواقفه اليومية مع تذكير بسيط. | يتمثّل سلوك النبي ﷺ بشكل مجزأ وفي مواقف بسيطة فقط.
