كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الأول
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
الاستماع | تذوق المسموع وتقييمه. | الانتباه السمعي: تنمية الوعي بالاختلافات بين الأصوات، مثل (الفرق بين "ب" و"م"). | تنمية مهارة التمييز بين الأصوات المتقاربة وتعزيز الوعي السمعي. | يميز بدقة بين الأصوات المتقاربة مثل الحروف المتشابهة في النطق. | يميز معظم الأصوات المتقاربة، لكنه يخلط بينها أحياناً. | يواجه صعوبة في التمييز بين الأصوات المتقاربة ويحتاج إلى تدريب مستمر.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | مهارة التواصل الفعّال: اختيار الكلمات المناسبة. | اختيار الكلمات المناسبة أثناء الحوار بما يعزز وضوح المعنى وفاعلية التواصل. | يختار كلماته بعناية، ويعبر عن أفكاره بوضوح ولباقة. | يستخدم كلمات مناسبة في معظم المواقف، لكنه يحتاج إلى تحسين دقة التعبير أحياناً. | يواجه صعوبة في اختيار الكلمات المناسبة أو التعبير الواضح أثناء الحوار.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | الاحترام المتبادل: التحدث بأدب ولطف مع الآخرين. | التحدث بأدب ولطف مع الآخرين بما يعكس احترامهم ويعزز التواصل الإيجابي. | يتحدث بأدب واحترام دائم، ويُظهر تقديراً للآخرين أثناء الحوار. | يلتزم بالأدب في أغلب المواقف، لكنه يحتاج إلى تعزيز أسلوبه اللطيف أحياناً. | يلتزم بأدب الحوار، لكنه قد يستخدم أسلوباً غير مناسب في بعض المواقف.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الثقة بالنفس: التعبير عن الذات بوضوح. | التعبير عن الذات أثناء الحديث بوضوح وثقة بما يسهم في نقل الأفكار والمعاني نقلاً سليماً وملائماً للموقف التواصلي. | يتحدث بثقة ووضوح، ويعبر عن أفكاره بطلاقة أمام الآخرين. | يُظهر ثقة جيدة في الحديث، لكنه يحتاج إلى مزيد من الطلاقة أو الجرأة أحياناً. | يتردد في التعبير عن أفكاره ويحتاج إلى دعم لتعزيز ثقته بنفسه.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | القدرة على الإقناع: إيصال الفكرة بطريقة مفهومة وجذابة. | توصيل الأفكار والمعاني بوضوح وتسلسل وبأسلوب يجذب انتباه المتلقي وييسر فهمه. | يعرض أفكاره بأسلوب واضح ومؤثر يجذب انتباه المستمعين. | يوضح أفكاره بصورة مقبولة، لكنه يحتاج إلى تحسين أسلوب العرض والإقناع. | يواجه صعوبة في إيصال فكرته أو جذب انتباه المستمعين.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | مهارة التخطيط للتحدث وتنظيم الأفكار قبل العرض الشفهي. | ترتيب الأفكار ذهنياً قبل التحدث؛ لضمان وضوح العرض وتسلسل المعاني. | يرتب أفكاره مسبقاً ويعرضها بصورة مترابطة ومنظمة. | ينظم بعض أفكاره قبل الحديث، لكنه يحتاج إلى مزيد من الترتيب والتسلسل. | يتحدث دون تنظيم واضح للأفكار ويحتاج إلى توجيه مستمر.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | مهارة التعبير المنطقي في عرض الأفكار شفهياً. | تقديم الحديث بصورة منظمة وواضحة بما يسهّل فهم الأفكار وتسلسلها. | يقدم حديثه بتسلسل منطقي واضح ومترابط يناسب الموضوع. | يعرض أفكاره بوضوح نسبي، لكنه يحتاج إلى تحسين الترابط والتسلسل. | يواجه صعوبة في تنظيم الحديث وتسلسل الأفكار بصورة مفهومة.
المحادثة والتعبير الشفوي | بناء مقاطع وكلمات وتحليلها. | إتقان مهارة الوعي الصوتي في اللغة العربية. | تجريد حروف اللغة العربية من الكلمات وتمييزها نطقاً وسمعاً تمييزاً صحيحاً. | يميز الحروف العربية ويجردها بدقة في الكلمات المختلفة. | يتعرف إلى معظم الحروف، لكنه يخلط أحياناً بين بعض الحروف المتشابهة. | يحتاج إلى دعم في تمييز الحروف وتجريدها ويحتاج إلى تدريب إضافي.
المحادثة والتعبير الشفوي | بناء مقاطع وكلمات وتحليلها. | إتقان مهارة الوعي الصوتي وبناء البنية الصوتية للكلمات. | تركيب مقاطع صوتية قصيرة وطويلة؛ لتكوين كلمات صحيحة ومفهومة. | يركب المقاطع الطويلة والقصيرة بدقة وسرعة. | يركب معظم المقاطع تركيباً صحيحاً، لكنه يحتاج إلى مزيد من التدريب. | يواجه صعوبة في تركيب المقاطع وتمييز أنواعها.
المحادثة والتعبير الشفوي | بناء مقاطع وكلمات وتحليلها. | تنمية مهارة الوعي الصوتي وبناء الكلمات. | تركيب كلمات من مقاطع صوتية تركيباً صحيحاً ومترابطاً؛ لتكوين كلمات ذات معنى. | يكوّن كلمات صحيحة ومتنوعة من المقاطع بسهولة. | يكوّن كلمات بسيطة بصورة صحيحة، لكنه يحتاج إلى تطوير مهارته في الكلمات الأكثر تعقيداً. | يحتاج إلى دعم في تركيب الكلمات من المقاطع المختلفة.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | تنمية مهارة التحكم الذاتي أثناء التحدث. | الالتزام بسرعة مناسبة وصوت واضح أثناء الحديث بما يحقق وضوح الرسالة. | يقرأ بسرعة مناسبة وصوت واضح ومتزن مع المحافظة على الطلاقة. | يلتزم بالسرعة والصوت المناسبين في معظم الأحيان، لكنه يحتاج إلى مزيد من الضبط أحياناً. | يواجه صعوبة في التحكم بسرعة القراءة أو وضوح الصوت.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | تنمية مهارة الثقة بالنفس في المواقف التواصلية والقرائية. | مواجهة الجمهور أثناء القراءة دون تردد أو تلعثم أو فأفأة. | يقرأ أمام الطلبة بثقة وطلاقة دون تردد أو فأفأة. | يقرأ بثقة مقبولة، لكنه يتردد أو يتلعثم أحياناً. | يشعر بالتردد والخجل أثناء القراءة الجهرية ويحتاج إلى تشجيع مستمر.
القراءة | قراءة جهرية سليمة، وفهمها. | إتقان مهارة القراءة الجهرية في اللغة العربية. | قراءة حروف اللغة العربية بالحركات جميعها قراءة صحيحة وسليمة. | يقرأ الحروف بالحركات جميعها بدقة وطلاقة. | يقرأ معظم الحروف بالحركات بصورة صحيحة مع بعض الأخطاء البسيطة. | يواجه صعوبة في قراءة الحروف بالحركات المختلفة.
القراءة | قراءة جهرية سليمة، وفهمها. | إتقان مهارة القراءة الصوتية وفك الترميز اللغوي. | قراءة المقاطع الطويلة والقصيرة قراءة صحيحة وواضحة. | يقرأ المقاطع الطويلة والقصيرة بطلاقة ودقة. | يقرأ معظم المقاطع بصورة صحيحة، لكنه يحتاج إلى مزيد من التدريب. | يحتاج إلى دعم في قراءة المقاطع وتمييز أنواعها.
القراءة | قراءة جهرية سليمة، وفهمها. | إتقان مهارة القراءة الجهرية وفكّ الرموز اللغوية. | قراءة كلمات مكوّنة من خمسة أحرف قراءة صحيحة وواضحة. | يقرأ الكلمات المكونة من خمسة أحرف أو أقل بدقة وطلاقة. | يقرأ معظم الكلمات بصورة صحيحة مع بعض التردد. | يواجه صعوبة في قراءة الكلمات وتركيب حروفها.
القراءة | قراءة جهرية سليمة، وفهمها. | تنمية مهارة القراءة الجهرية وفك الترميز اللغوي. | قراءة كلمات غير مألوفة قراءة صحيحة وواضحة اعتماداً على المهارات الصوتية المكتسبة. | يقرأ الكلمات غير المألوفة بدقة مستخدماً مهارات التحليل الصوتي. | يقرأ بعض الكلمات غير المألوفة بصورة صحيحة، لكنه يحتاج إلى دعم أحياناً. | يحتاج إلى دعم في قراءة الكلمات الجديدة أو تحليلها.
القراءة | قراءة جهرية سليمة، وفهمها. | إتقان مهارة القراءة الجهرية وفهم التراكيب اللغوية البسيطة. | قراءة جمل بسيطة قراءة صحيحة وواضحة تتضمن تراكيب مثل المبتدأ والخبر، والفعل والفاعل والمفعول به، مع مراعاة حروف الجر وأدوات النفي وغيرها. | يقرأ الجمل البسيطة بطلاقة مع فهم واضح للمعنى والتركيب. | يقرأ الجمل بصورة مقبولة، لكنه يحتاج إلى تحسين الطلاقة أو الفهم أحياناً. | يواجه صعوبة في قراءة الجمل أو فهم تراكيبها.
القراءة | قراءة جهرية سليمة، وفهمها. | إتقان مهارة القراءة الجهرية وفهم النصوص القصيرة. | قراءة نص من حوالي خمسين كلمة قراءة صحيحة وواضحة مع مراعاة سلامة النطق. | يقرأ النص بطلاقة ويفهم أفكاره الرئيسة بوضوح. | يقرأ النص بصورة جيدة مع بعض التردد أو ضعف الفهم الجزئي. | يحتاج إلى دعم في قراءة النص أو فهم مضمونه العام.
القراءة | الوعي الصوتي، وتمييز الحروف والمقاطع. | تنمية مهارة التحليل الصوتي وبناء الوعي الصوتي باللغة العربية. | تحليل الكلمات إلى مقاطع وأصوات، وملاحظة الفروقات بينها ملاحظة صحيحة ودقيقة. | يحلل الكلمات إلى أصوات ومقاطع بدقة، ويميز الفروقات الصوتية بوضوح. | يحلل معظم الكلمات بصورة صحيحة، لكنه يحتاج إلى مزيد من الدقة في بعض الأصوات. | يواجه صعوبة في تحليل الكلمات وتمييز الأصوات المختلفة.
القراءة | الوعي الصوتي، وتمييز الحروف والمقاطع. | تنمية الوعي اللغوي المبكر كأساس لتطوير مهارات القراءة المستقبلية. | إظهار وعي لغوي مبكر يسهم في تعزيز مهارات القراءة مستقبلاً من خلال التمييز بين الأصوات والكلمات. | يُظهر وعياً لغوياً وصوتياً يسهم في تطوير مهارات القراءة لديه. | يُظهر وعياً لغوياً جيداً، لكنه يحتاج إلى مزيد من الممارسة والتطوير. | يحتاج إلى دعم مستمر لتنمية الوعي اللغوي والصوتي.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | الدّقة والترتيب والنظافة: كتابة مرتّبة وجميلة وصحيحة. | كتابة مرتبة وجميلة وصحيحة. | يكتب بخط واضح ومرتب مع الالتزام بصحة الكتابة ونظافتها. | يكتب بصورة مقبولة، لكنه يحتاج إلى تحسين الترتيب أو الدقة أحياناً. | يواجه صعوبة في تنظيم الكتابة أو المحافظة على وضوحها ونظافتها.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | الالتزام الذاتي بتنفيذ خطوات الكتابة تنفيذاً منظّماً. | اتباع خطوات الكتابة بصورة منظمة. | يلتزم بخطوات الكتابة بتسلسل منظم ودقة واضحة. | يطبق معظم خطوات الكتابة بصورة مناسبة، لكنه يحتاج إلى مزيد من التنظيم. | يحتاج إلى توجيه مستمر للالتزام بخطوات الكتابة وتنظيمها.
الكتابة | كتابة كلمات وجمل في حدود (4) كلمات إملاء منقولاً. | تنمية مهارة الكتابة الإملائية في اللغة العربية. | كتابة كلمات وجمل إملاء منقولاً كتابة صحيحة مع مراعاة الدقة في النقل والإملاء. | ينقل الكلمات والجمل بدقة عالية مع مراعاة الشكل والإملاء الصحيح. | ينقل معظم الكلمات والجمل بصورة صحيحة مع بعض الأخطاء البسيطة. | يواجه صعوبة في نقل الكلمات والجمل أو يرتكب أخطاء متكررة.
الكتابة | تنظيم محتوى الكتابة. | تنمية مهارة الدقة والنظام في الكتابة. | كتابة مرتّبة ومنظّمة تعكس دقة في الأداء وجودة في العرض الكتابي. | ينظم كتابته بصورة مرتبة وواضحة تسهّل قراءتها وفهمها. | يظهر قدراً جيداً من التنظيم، لكنه يحتاج إلى تحسين الترتيب أحياناً. | يواجه صعوبة في تنظيم الكتابة وترتيب الأفكار أو السطور.
الكتابة | تنظيم محتوى الكتابة. | الانضباط الذاتي: التدرج في تنفيذ خطوات الكتابة تدرّجاً منظّماً. | تنمية مهارة الانضباط الذاتي في تنفيذ مهارات الكتابة. | ينفذ المهارة بدقة واستقلالية دون أخطاء تُذكر. | ينفذ المهارة بدرجة جيدة مع بعض الأخطاء البسيطة ويعمل على تحسينها. | يبذل جهداً في تنفيذ المهارة لكن يحتاج إلى دعم وتوجيه مستمر.
الأنماط اللغوية | توظيف الأنماط اللغوية الأساسية | توظيف أسماء الإشارة، وأسماء الموصول، والتمييز الصوتي، والمفرد والجمع، وأدوات الاستفهام البسيطة في جمل بسيطة. | تمييز التراكيب اللغوية الأساسية، وتوظيفها في جمل بسيطة. | يوظف الأنماط بدقة في جمل صحيحة وواضحة. | يوظف معظم الأنماط مع بعض الأخطاء. | يميز بعض الأنماط، ويوظفها توظيفاً محدوداً.
