كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الثاني
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
الاستماع | فهم المسموع وتحليله. | استنتاج فكرة النص أو محتواه العامّ من خلال قراءة العنوان أو المقدمة. | تحليل المؤشرات الأولية في النص للوصول إلى معناه العام | يستنتج الفكرة العامة بدقة ووضوح. | يستنتج الفكرة العامة بصورة جزئية. | يحتاج إلى توجيه لاستنتاج الفكرة العامة.
الاستماع | فهم المسموع وتحليله. | تمييز خصائص نبرة الصوت مثل الوضوح أو تردد المتحدث. | تفسير خصائص الأداء الصوتي وربطها بدلالة المعنى | يميز خصائص النبرة بدقة. | يميز بعض خصائص النبرة. | يحتاج إلى دعم في التمييز بين الخصائص الصوتية.
الاستماع | فهم المسموع وتحليله. | تمييز أصوات الحروف المتشابهة في بداية الكلمة أو وسطها أو نهايتها من خلال الاستماع. | تحليل الفروق الصوتية بين الحروف المتقاربة سمعياً | يميز الأصوات المتشابهة بدقة عالية. | يميز معظم الأصوات تمييزاً صحيحاً. | يحتاج إلى دعم في التمييز بين الأصوات.
الاستماع | فهم المسموع وتحليله. | التعرف إلى مصدر الصوت المسموع (شخص، آلة، طبيعة، ... إلخ). | تحديد مصدر الصوت اعتماداً على خصائصه السمعية | يحدد مصدر الصوت بدقة وسرعة. | يحدد المصدر في معظم المواقف. | يحتاج إلى مساعدة؛ لتحديد مصدر الصوت.
الاستماع | فهم المسموع وتحليله. | تحديد الفكرة العامة وبعض الأفكار الجزئية الواردة في النص المسموع. | استخلاص المعلومات الرئيسة والتفصيلية من النص المسموع | يحدد الفكرة العامة والأفكار الجزئية بدقة. | يحدد بعض الأفكار بصورة مقبولة. | يحتاج إلى دعم لفهم الأفكار الواردة في النص.
الاستماع | فهم المسموع وتحليله. | مقارنة ما توقعه المتعلم قبل الاستماع بمضمون النص الفعلي بعد الاستماع. | فحص مدى تطابق التوقعات السابقة مع محتوى النص المسموع | يقارن بين التوقعات والنص بدقة ووضوح. | يقارن بصورة جزئية مع بعض الأخطاء. | يحتاج إلى توجيه لإجراء المقارنة.
الاستماع | فهم المسموع وتحليله. | استنتاج الحالة الشعورية العامة للنص المسموع من خلال نبرة الصوت (كالفرح أو الحزن). | تحليل الدلالات الانفعالية في النص المسموع | يحدد الحالة الشعورية بدقة. | يميز بعض المشاعر الأساسية. | يحتاج إلى مساعدة لفهم المشاعر.
الاستماع | فهم المسموع وتحليله. | تكوين أسئلة بسيطة حول النص المسموع تبدأ بأدوات الاستفهام مثل: من، ما، أين، متى، كم، ماذا. | صياغة أسئلة تعكس فهم المحتوى المسموع | يصوغ أسئلة واضحة ومتنوعة. | يصوغ أسئلة بسيطة ومحدودة. | يحتاج إلى دعم في صياغة الأسئلة.
الاستماع | فهم المسموع وتحليله. | وصف الشخصيات التي ظهرت في النص من حيث الأهمية (رئيسة أو ثانوية). | تصنيف الشخصيات وفق دورها في بنية النص | يميز الشخصيات ويصفها بدقة. | يصف الشخصيات بصورة عامة. | يحتاج إلى دعم في وصف الشخصيات.
الاستماع | فهم المسموع وتحليله. | الربط بين الشخصيات والأحداث أو الأماكن التي وردت في النص. | تحليل العلاقات بين عناصر النص المسموع | يربط بين الشخصيات والأحداث بوضوح. | يربط بعض العناصر بصورة جزئية. | يحتاج إلى مساعدة في الربط بين العناصر.
الاستماع | فهم المسموع وتحليله. | الاستدلال على خصائص الأشياء من خلال صفاتها المسموعة، مثل الصوت أو الحجم أو الوزن. | استنتاج خصائص الأشياء من خلال الأدلة السمعية الواردة في النص | يستدل على الخصائص بدقة ووضوح. | يستدل على بعض الخصائص بصورة صحيحة. | يحتاج إلى دعم في الاستدلال على الخصائص.
الاستماع | التفاعل الإيجابي مع المسموع. | استرجاع ثلاث إلى أربع تعليمات أو توجيهات سمعها المتعلم بدقة. | استعادة التعليمات المسموعة وترتيبها ذهنياً | يسترجع التعليمات بدقة كاملة وبالترتيب الصحيح. | يسترجع معظم التعليمات مع بعض الخلل في الترتيب. | يسترجع جزءاً محدوداً من التعليمات.
الاستماع | التفاعل الإيجابي مع المسموع. | تمييز كلمات تحتوي على أصوات حروف أو مقاطع صوتية محددة مما يسمعه المتعلم. | تحليل الأصوات والمقاطع داخل الكلمات المسموعة | يميز الكلمات المستهدفة بدقة عالية. | يميز معظم الكلمات تمييزاً صحيحاً. | يخطئ في تمييز الكلمات المستهدفة.
الاستماع | التفاعل الإيجابي مع المسموع. | سرد الإرشادات والإجراءات التي استمع إليها والمتكونة من ثلاث إلى أربع خطوات، بترتيبها الصحيح. | تنظيم المعلومات المسموعة في تسلسل إجرائي منطقي | يسرد الخطوات كاملة وبترتيب صحيح. | يسرد معظم الخطوات مع بعض الاضطراب في الترتيب. | يسرد خطوات غير مكتملة أو غير مرتبة.
الاستماع | التفاعل الإيجابي مع المسموع. | التعرف إلى كلمات مسموعة تتضمن مقطعين أو ثلاثة. | تحليل البنية الصوتية للكلمات المسموعة | يحدد الكلمات متعددة المقاطع بدقة. | يحدد معظم الكلمات تحديداً صحيحاً. | يحتاج إلى دعم في تحديد المقاطع.
الاستماع | التفاعل الإيجابي مع المسموع. | تذكر أسماء شخصيتين أو حدثين أو مكانين وردت في النص المسموع. | استدعاء المعلومات الأساسية من النص المسموع | يتذكر جميع العناصر المطلوبة بدقة. | يتذكر معظم العناصر مع بعض النقص. | يتذكر عنصراً أو عنصرين فقط.
الاستماع | التفاعل الإيجابي مع المسموع. | استخراج بعض العبارات من النص المسموع التي تتضمن تراكيب لغوية درَسها، مثل: الاستفهام، والنداء، والنفي أو الإثبات. | تمييز التراكيب اللغوية داخل النص المسموع | يستخرج التراكيب بدقة ووضوح. | يستخرج بعض التراكيب استخراجاً صحيحاً. | يخطئ في استخراج التراكيب أو يحددها جزئياً.
الاستماع | التفاعل الإيجابي مع المسموع. | التعبير عن رأيه الأولي تجاه ما سمعه، سواء بالقبول أو الرفض أو الإعجاب، وغيرها. | إبداء موقف شخصي من النص المسموع | يعبر عن رأيه بوضوح وتبرير مناسب. | يعبر عن رأيه تعبيراً مختصراً دون تفصيل. | يواجه صعوبة في التعبير عن الرأي.
الاستماع | التفاعل الإيجابي مع المسموع. | تحديد موقفه من تصرفات الشخصيات في النص المسموع، بإبداء تأييده أو اعتراضه عليها. | تقويم سلوك الشخصيات في النص المسموع | يحدد موقفه ويبرره بوضوح. | يحدد موقفه دون تبرير كافٍ. | يحدد موقفاً غير واضح أو غير مكتمل.
الاستماع | التفاعل الإيجابي مع المسموع. | استرجاع ثلاث إلى أربع تعليمات أو توجيهات سمعها المتعلم بدقة. | تكرار التعليمات المسموعة بدقة، واسترجاعها | يسترجع التعليمات بدقة كاملة. | يسترجع معظم التعليمات. | يسترجع جزءاً محدوداً فقط.
الاستماع | تذوق المسموع وتقييمه. | ممارسة مهارات التفكير التحليلي والنقدي بناءً على ما تمّ الاستماع إليه. | ممارسة التحليل والنقد اعتماداً على المسموع | يمارس التفكير التحليلي والنقدي ممارسةً دقيقةً ومنظمةً. | يمارس التفكير التحليلي والنقدي ممارسةً جزئيةً. | يمارس التفكير التحليلي والنقدي ممارسةً محدودةً.
الاستماع | تذوق المسموع وتقييمه. | التعبير عن الانطباع الأولي بعد الاستماع، مثل الإعجاب أو القبول أو الرفض. | التعبير عن الانطباع تجاه النص المسموع | يعبر عن الانطباع تعبيراً واضحاً ومبرراً. | يعبر عن الانطباع تعبيراً مختصراً. | يعبر عن الانطباع تعبيراً غير واضح.
الاستماع | تذوق المسموع وتقييمه. | إظهار التذوق الجمالي والوجداني للنص المسموع. | إظهار التفاعل الجمالي مع النص المسموع | يظهر التذوق الجمالي والوجداني للنص إظهاراً واضحاً. | يظهر التذوق الجمالي والوجداني للنص إظهاراً جزئياً. | يظهر التذوق الجمالي والوجداني للنص إظهاراً محدوداً.
الاستماع | تذوق المسموع وتقييمه. | التعاطف مع الشخصيات وفهم مشاعرها كما وردت في النص. | فهم مشاعر الشخصيات والتفاعل معها | يتعاطف مع الشخصيات تعاطفاً واعياً ويفهم مشاعرها بدقة. | يتعاطف مع الشخصيات تعاطفاً جزئياً. | يتعاطف مع الشخصيات تعاطفاً محدوداً.
الاستماع | تذوق المسموع وتقييمه. | اتخاذ موقف واضح من تصرفات الشخصيات في النص؛ بالموافقة أو الرفض. | إصدار حكم على تصرفات الشخصيات في النص المسموع | يتخذ موقفاً واضحاً من التصرفات مع تعليل مناسب. | يتخذ موقفاً عاماً دون تعليل كافٍ. | يتخذ موقفاً غير واضح.
الاستماع | تذوق المسموع وتقييمه. | التعبير عن رأيه الشخصي في محتوى ما استمع إليه. | إبداء الرأي في المحتوى المسموع | يعبر عن رأيه تعبيراً واضحاً ومقنعاً. | يعبر عن رأيه تعبيراً مختصراً. | يعبر عن رأيه تعبيراً ضعيفاً أو غير واضح.
الاستماع | تذوق المسموع وتقييمه. | تقدير الجوانب الفنية في النص المسموع، مثل: الأسلوب،العبارات، الصور التعبيرية. | تقدير العناصر الجمالية والفنية في النص المسموع | يقدر الجوانب الفنية تقديراً دقيقاً وواعياً. | يقدر بعض الجوانب الفنية تقديراً جزئياً. | يقدر الجوانب الفنية تقديراً محدوداً.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | الالتزام بالنظام والاحترام عند الرغبة في المشاركة بالمناقشة أو الحوار. | الالتزام بسلوك منظم ومحترم عند المشاركة في الحوار | يلتزم بالنظام والاحترام التزاماً كاملاً عند المشاركة. | يلتزم بالنظام التزاماً جزئياً مع بعض التذكير. | يلتزم بالنظام التزاماً محدوداً ويحتاج إلى توجيه.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | احترام حق الآخرين في الكلام وعدم مقاطعتهم أثناء حديثهم. | احترام حق المتحدثين وعدم مقاطعتهم أثناء الحوار | يحترم المتحدثين احتراماً كاملاً دون مقاطعة. | يحترم المتحدثين غالباً مع بعض المقاطعة غير المتكررة. | يكرر المقاطعة ويحتاج إلى توجيه مستمر.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | طلب الإذن قبل التحدث أو إبداء الرأي؛ لضمان حسن سير الحوار. | طلب الإذن للتحدث قبل المشاركة في الحوار | يطلب الإذن طلباً واضحاً ومنظماً قبل التحدث. | يطلب الإذن أحياناً مع حاجة إلى التذكير. | لا يلتزم بطلب الإذن إلا بتوجيه مباشر.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | التمتع باللطف والأدب مع المستمعين خلال المحادثة، مثل استخدام التحية، الاستئذان، الاعتذار، الشكر، والتهنئة. | استخدام عبارات مهذبة تعزز التواصل الإيجابي في الحوار | يستخدم العبارات المهذبة استخداماً مناسباً ومستقراً. | يستخدم العبارات المهذبة استخداماً جزئياً. | يستخدم عبارات مهذبة استخداماً محدوداً أو غير منتظم.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | إعطاء الفرصة للآخرين للمشاركة في النقاش في الوقت المناسب. | إتاحة المجال للآخرين للمشاركة في الحوار | يمنح الآخرين الفرصة للمشاركة بوعي واحترام. | يمنح الفرصة في بعض المواقف دون انتظام. | لا يمنح الفرصة منحاً كافياً ويحتاج إلى توجيه.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | الحفاظ على الهدوء والتعامل بحسن خلق عند وجود اختلاف في الآراء. | ضبط الانفعالات واحترام اختلاف وجهات النظر | يحافظ على الهدوء ويتعامل مع الاختلاف احتراماً وتقبلاً. | يحافظ على الهدوء في معظم المواقف مع بعض الانفعال. | يواجه صعوبة في ضبط الانفعالات عند الاختلاف.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الاستماع للآخرين باهتمام. | إظهار الإصغاء الفعّال أثناء الحوار | يستمع للآخرين استماعاً واعياً ومركزاً. | يستمع للآخرين استماعاً جزئياً مع بعض التشتت. | يستمع للآخرين استماعاً محدوداً ويحتاج إلى تنبيه.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الرد على الأسئلة والمداخلات. | تقديم ردود مناسبة ومترابطة أثناء الحوار | يرد على الأسئلة والمداخلات رداً واضحاً ومناسباً. | يرد على بعض الأسئلة والمداخلات بصورة جزئية. | يواجه صعوبة في الرد ويحتاج إلى دعم.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | احترام آراء الآخرين. | تقبل وجهات النظر المختلفة أثناء الحوار | يحترم آراء الآخرين احتراماً كاملاً ويظهر تقبلاً. | يحترم آراء الآخرين في معظم المواقف. | يظهر ضعفاً في احترام الآراء المختلفة.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | توجيه التعليمات والإرشادات الشفوية للآخرين بلغة سليمة. | استخدام لغة شفوية سليمة في توجيه الآخرين | يوجه التعليمات توجيهاً سليماً وواضحاً ودقيقاً. | يوجه التعليمات توجيهاً جزئياً مع بعض الأخطاء. | يوجه التعليمات توجيهاً غير واضح أو غير دقيق.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | العمل الجماعي. | المشاركة الفعالة في العمل ضمن المجموعة | يشارك في العمل الجماعي مشاركةً فعّالة ومنظمة. | يشارك في العمل الجماعي مشاركةً جزئية. | يشارك مشاركةً ضعيفة ويحتاج إلى تشجيع.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | احترام التنوع: بتنوع الآراء والتجارب الشخصية. | تقبل التنوع في الآراء والخبرات | يتقبل التنوع ويتعامل معه باحترام ووعي. | يتقبل التنوع في بعض المواقف. | يحتاج إلى دعم في تقبل التنوع.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | بناء علاقات إيجابية. | تكوين علاقات إيجابية مع الآخرين أثناء التفاعل | يبني علاقات إيجابية ومستقرة مع الآخرين. | يبني علاقات إيجابية جزئية مع بعض الزملاء. | يواجه صعوبة في بناء علاقات إيجابية.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | توظيف المكتسبات من الثروة اللغوية في أثناء حديثه توظيفاً سليماً. | استخدام الرصيد اللغوي في التواصل الشفهي | يوظف الثروة اللغوية توظيفاً سليماً ودقيقاً. | يوظف الثروة اللغوية توظيفاً جزئياً. | يوظف الثروة اللغوية توظيفاً محدوداً.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | استخدام عبارات التهنئة في المناسبات السعيدة مثل الأعياد، والنجاح، والفوز... | توظيف عبارات التهنئة في المواقف الاجتماعية المناسبة | يستخدم عبارات التهنئة استخداماً مناسباً وسليماً. | يستخدم عبارات التهنئة استخداماً جزئياً. | يحتاج إلى توجيه لاستخدام عبارات التهنئة.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | استخدام عبارات المواساة في الحالات الحزينة مثل التعازي، والفشل، والرسوب... إلخ. | توظيف عبارات المواساة في المواقف الحزينة | يستخدم عبارات المواساة استخداماً مناسباً وواعياً. | يستخدم عبارات المواساة بصورة جزئية. | يحتاج إلى دعم لاستخدام عبارات المواساة.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | توجيه عبارات الترحيب عند استقبال الضيوف والتوديع عند مغادرتهم. | استخدام عبارات التحية والوداع في المواقف الاجتماعية | يستخدم عبارات الترحيب والوداع استخداماً مناسباً. | يستخدم العبارات في بعض المواقف فقط. | يواجه صعوبة في استخدام عبارات الترحيب والوداع.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | تقديم عبارات الاعتذار عند عدم القدرة على تلبية طلب ما. | التعبير عن الاعتذار في المواقف المناسبة | يقدم عبارات الاعتذار تقديماً مناسباً وواضحاً. | يقدم عبارات الاعتذار بصورة جزئية. | لا يقدم عبارات الاعتذار إلا بتوجيه.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | الرد على الأسئلة المطروحة عليه مع التركيز على فكرة السؤال لفهمه جيداً. | فهم السؤال وتقديم إجابة مناسبة له | يجيب عن الأسئلة إجابةً دقيقة ومترابطة. | يجيب عن بعض الأسئلة إجابةً جزئية. | يحتاج إلى دعم في فهم الأسئلة والإجابة عنها.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | طرح الأسئلة باستخدام أدوات الاستفهام مثل: من، ما، هل، أين، متى، كم، كيف. | صياغة أسئلة باستخدام أدوات الاستفهام المناسبة | يصوغ أسئلة صحيحة ومتنوعة. | يصوغ أسئلة بسيطة ومحدودة. | يحتاج إلى دعم في صياغة الأسئلة.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | وصف الأنشطة اليومية والألعاب والهوايات في جمل تتراوح بين أربع إلى خمس. | التعبير عن الخبرات اليومية وصفاً شفوياً | يصف الأنشطة وصفاً مترابطاً وواضحاً. | يصف الأنشطة وصفاً جزئياً. | يصف الأنشطة وصفاً محدوداً وغير مترابط.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | سرد أحداث شهدها أو عاصرها أو سمع عنها في أربع إلى خمس جمل. | ترتيب الأحداث وسردها شفوياً | يسرد الأحداث سرداً منطقياً ومترابطاً. | يسرد الأحداث بصورة جزئية. | يحتاج إلى دعم في سرد الأحداث.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | التحدث عن موقف أو مشهد من الماضي سواء حدث معه شخصياً أو سمع عنه. | التعبير عن خبرات الماضي شفوياً | يتحدث عن الموقف بوضوح وتسلسل. | يتحدث عن الموقف بصورة جزئية. | يحتاج إلى دعم للتعبير عن الموقف.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | استخدام كلمات وصفية عند الحديث عن الأشخاص أو الأماكن لتوضيح التفاصيل. | توظيف الأوصاف اللغوية في التعبير | يستخدم كلمات وصفية استخداماً مناسباً ودقيقاً. | يستخدم كلمات وصفية بصورة جزئية. | يحتاج إلى دعم في استخدام الكلمات الوصفية.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | تقديم تعليمات تتكون من ثلاث خطوات بسيطة وواضحة. | صياغة تعليمات إجرائية قصيرة | يقدم تعليمات واضحة ومترتبة على خطوات. | يقدم تعليمات غير مكتملة أو غير مرتبة تماماً. | يحتاج إلى دعم في تقديم التعليمات.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | ربط الكلمات والجمل باستخدام حرفي العطف "و" و"أو" لتسلسل الأفكار. | استخدام أدوات الربط في بناء الجمل | يوظف أدوات الربط توظيفاً سليماً ومناسباً. | يوظف أدوات الربط بصورة جزئية. | يواجه صعوبة في استخدام أدوات الربط.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | اختيار الأفكار المناسبة والملائمة لموضوع الحديث من بين عدة أفكار معروضة. | انتقاء الأفكار المناسبة للموضوع | يختار الأفكار المناسبة بدقة ووعي. | يختار بعض الأفكار المناسبة بصورة جزئية. | يحتاج إلى دعم في اختيار الأفكار المناسبة.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | تحديد معاني الكلمات ودلالاتها بناءً على الترادف والتشابه في المعنى. | فهم الدلالة المعجمية للكلمات | يحدد معاني الكلمات بدقة ووضوح. | يحدد بعض المعاني بصورة جزئية. | يحتاج إلى دعم في فهم المعاني.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | استخلاص القيم والاتجاهات التي يعبر عنها النص. | استنتاج القيم من النصوص المقروءة أو المسموعة | يستخلص القيم والاتجاهات بدقة ووعي. | يستخلص بعض القيم بصورة جزئية. | يحتاج إلى دعم في استخلاص القيم.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | الإجابة عن أسئلة تذكرية تبدأ بأدوات الاستفهام مثل: من، ما، أين، متى، كم، كيف، ماذا. | استرجاع المعلومات المباشرة من النص | يجيب عن الأسئلة إجابة دقيقة وواضحة. | يجيب عن بعض الأسئلة إجابة جزئية. | يحتاج إلى دعم في الإجابة عن الأسئلة.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | ربط عناصر النص معاً، مثل الشخصيات والأماكن والأزمنة، ... إلخ. | تحليل العلاقات داخل النص | يربط عناصر النص ربطاً واضحاً ومترابطاً. | يربط بعض العناصر بصورة جزئية. | يحتاج إلى دعم في الربط بين عناصر النص.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | تحديد الترتيب الزمني للأحداث الواردة في النص. | تنظيم الأحداث وفق تسلسلها الزمني | يرتب الأحداث ترتيباً زمنياً دقيقاً. | يرتب بعض الأحداث بصورة صحيحة. | يحتاج إلى دعم في ترتيب الأحداث.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | وصف الأحداث والشخصيات أو الأشياء بلغة سليمة وواضحة. | التعبير الوصفي المنظم | يصف الأحداث والشخصيات وصفاً واضحاً ودقيقاً. | يصفها وصفاً جزئياً. | يحتاج إلى دعم في الوصف.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | تمثيل دور بسيط في مسرحية أو عرض تمثيلي موجه للأطفال. | أداء الأدوار التمثيلية الشفوية | يؤدي الدور أداءً واضحاً ومناسباً. | يؤدي الدور بصورة جزئية. | يحتاج إلى دعم في أداء الدور.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود سطرين. | إجراء مقابلة حول موضوع معين لجمع المعلومات، أو إعداد تقرير. | جمع المعلومات عبر الحوار أو المقابلة | يجري المقابلة ويجمع المعلومات بوضوح. | يجري المقابلة بصورة جزئية. | يحتاج إلى دعم في إجراء المقابلة.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | إظهار الثقة بالنفس أثناء القراءة أمام المتعلمين وغيرهم. | القراءة أمام الآخرين بثقة | يظهر الثقة بالنفس إظهاراً واضحاً وثابتاً. | يظهر الثقة بالنفس إظهاراً جزئياً. | يظهر الثقة بالنفس إظهاراً محدوداً.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | اكتساب مهارات تقديم العرض اكتساباً جيداً مع الالتزام بالانضباط الذاتي. | تقديم عرض منظم مع ضبط السلوك الذاتي | يكتسب مهارات العرض اكتساباً متقناً مع التزامٍ عالٍ بالانضباط الذاتي. | يكتسب مهارات العرض اكتساباً جزئياً مع التزامٍ جزئي بالانضباط الذاتي. | يكتسب مهارات العرض اكتساباً محدوداً مع ضعف في الانضباط الذاتي.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | قراءة نصوص مكونة من (50-70) كلمة قراءة جهرية سليمة ومعبرة. | قراءة نصوص قصيرة قراءةً جهريةً سليمةً ومعبّرةً | يقرأ نصوصاً قصيرة قراءةً جهريةً سليمةً ومعبرةً بدقة وطلاقة. | يقرأ النصوص قراءةً جهريةً مقبولة مع بعض التردد. | يقرأ النصوص قراءةً جهريةً ضعيفة ويحتاج إلى دعم.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | الاستيعاب والفهم الدقيق لمضمون النص أو المحتوى المقروء. | فهم المعنى العام والتفاصيل في النص المقروء | يفهم مضمون النص فهماً دقيقاً وشاملاً. | يفهم المضمون فهماً جزئياً. | يواجه صعوبة في فهم المضمون.
