كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الثالث
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
الاستماع | فهم المسموع وتحليله. | تحديد القيم الإيجابية في النص المسموع. | استخراج القيم السلوكية من النص. | يستخلص القيم الإيجابية بدقة. | يستخلص بعض القيم جزئياً. | يستخلص قيماً محدودة.
الاستماع | التفاعل الإيجابي مع المسموع. | إبداء الرأي في محتوى النص المسموع. | التعبير عن الموقف من مضمون النص | يعبر عن رأيه تعبيراً واضحاً ومبرراً. | يعبر عن رأيه تعبيراً جزئياً. | يعبر عن رأيه تعبيراً محدوداً.
الاستماع | التفاعل الإيجابي مع المسموع. | المقارنة بين ما استمع ﺇليه وما توقعه. | مقارنة التوقعات بمحتوى النص المسموع | يقارن بين التوقعات والمحتوى مقارنة دقيقة. | يقارن بين التوقعات والمحتوى مقارنة جزئية. | يقارن بين التوقعات والمحتوى مقارنة محدودة.
الاستماع | التفاعل الإيجابي مع المسموع. | التعبير عن المشاعر تجاه المضمون المسموع. | إظهار الانفعال الوجداني تجاه النص | يعبر عن مشاعره تعبيراً واضحاً. | يعبر عن مشاعره تعبيراً جزئياً. | يعبر عن مشاعره تعبيراً محدوداً.
الاستماع | التفاعل الإيجابي مع المسموع. | إعادة سرد نص الاستماع شفوياً أو كتابياً بلغة واضحة، والتحدث أمام الآخرين. | إعادة عرض محتوى النص بأسلوب منظم | يعيد سرد النص سرداً واضحاً ومترابطاً. | يعيد سرد النص سرداً جزئياً مع بعض الترتيب. | يعيد سرد النص سرداً محدوداً وغير مترابط.
الاستماع | تذوق النص المسموع وتقييمه. | التفكير النقدي بتقييم الأحداث والشخصيات والمواقف في النصوص. | تقويم عناصر النص المسموع نقدياً | يقيم الأحداث والشخصيات والمواقف تقييماً نقدياً دقيقاً. | يقيم بعض العناصر تقييماً جزئياً. | يذكر رأياً عاماً دون توضيح أو تبرير كافٍ.
الاستماع | تذوق النص المسموع وتقييمه. | حل المشكلات بتحديد المشكلة في النص واقتراح حلول بديلة لها. | تحليل المشكلة في النص واقتراح حلول مناسبة | يحدد المشكلة بدقة ويقترح حلولاً متعددة ومنطقية. | يحدد المشكلة ويقترح حلاً أو أكثر مع تفاوت في ملاءمته. | يواجه صعوبة في تحديد المشكلة أو اقتراح حل مناسب.
الاستماع | تذوق النص المسموع وتقييمه. | التفكير الإبداعي: (توليد أفكار بديلة، المرونة الذهنية، الطلاقة في التعبير، وابتكار جمل جديدة باستخدام الكلمات الجديدة في النص). | إنتاج أفكار وجمل جديدة مرتبطة بالنص | يولد أفكاراً متنوعة ويبتكر جملاً جديدة باستخدام مفردات النص. | يولد بعض الأفكار ويستخدم مفردات النص في جمل بسيطة. | يكتفي بأفكار قليلة ويصعب عليه توظيف مفردات النص.
الاستماع | تذوق النص المسموع وتقييمه. | القدرة على التحليل والتفسير. | تحليل عناصر النص وتفسير معانيه | يحلل النص ويستنتج معانيه بدقة ووضوح. | يحلل النص ويستنتج بعض المعاني مع توضيح جزئي. | يواجه صعوبة في تحليل النص أو تفسير معانيه.
الاستماع | تذوق النص المسموع وتقييمه. | ربط المفاهيم المستمعة بمواقف حياتية مختلفة أو مشابهة. | توظيف المفاهيم في مواقف حياتية واقعية | يربط المفاهيم بمواقف حياتية واقعية مع توضيح العلاقة. | يربط بعض المفاهيم بمواقف حياتية مع أمثلة بسيطة. | يحتاج إلى دعم في ربط المفاهيم بالمواقف الحياتية.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | الاستماع للآخرين دون مقاطعة، وخفض الصوت والتحدث بوضوح، واحترام الرأي الآخر، والنظر إلى المتحدث أثناء حديثه، وعدم رفع الصوت عند الاختلاف، والجلوس بانضباط أثناء الحديث، والرد المناسب... | الالتزام بسلوكات التواصل الصفي أثناء الحوار | يلتزم بسلوكات التواصل التزاماً كاملاً ويستمع ويتحدث بوضوح واحترام. | يلتزم بسلوكات التواصل التزاماً جيداً مع بعض التذكير. | يلتزم بسلوكات التواصل التزاماً ضعيفاً ويحتاج إلى توجيه مستمر.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الاستماع للآخرين باهتمام. | الإصغاء الفعّال أثناء المواقف الحوارية | يصغي للآخرين باهتمام ويظهر تركيزاً واضحاً. | يصغي للآخرين مع تشتت بسيط. | يصغي للآخرين مع ضعف في التركيز.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الرد على الأسئلة والمداخلات. | تقديم إجابات شفوية مناسبة أثناء الحوار | يجيب إجابات واضحة ومترابطة ومناسبة للسياق. | يجيب إجابات قصيرة مع بعض التردد أو النقص. | يجيب إجابات غير مكتملة أو غير دقيقة.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | توجيه التعليمات والإرشادات الشفوية للآخرين بلغة سليمة. | إعطاء تعليمات شفوية واضحة ومترابطة | يوجه تعليمات واضحة ومنظمة بلغة سليمة. | يوجه تعليمات بسيطة مع بعض الاضطراب. | يوجه تعليمات غير واضحة أو غير مكتملة.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | العمل الجماعي. | المشاركة الفعالة في الأنشطة الجماعية | يشارك في العمل الجماعي بفاعلية والتزام. | يشارك في العمل الجماعي مشاركة متقطعة. | يشارك في العمل الجماعي مشاركة ضعيفة.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | احترام التنوع: بتنوع الآراء والتجارب الشخصية. | تقبل الاختلاف بين الأفراد في المواقف الصفية | يتقبل تنوع الآراء والتجارب تقبلاً إيجابياً. | يتقبل بعض الآراء المختلفة مع تردد. | يحتاج إلى دعم في تقبل اختلاف الآراء.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | توظيف المكتسبات من الثروة اللغوية في أثناء حديثه توظيفاً سليماً. | استخدام المفردات والتراكيب في المواقف الشفوية | يوظف المفردات والتراكيب توظيفاً سليماً وواضحاً. | يوظف بعض المفردات والتراكيب جزئياً. | يحتاج إلى دعم في توظيف المفردات والتراكيب.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | التعبير الشفوي بطلاقة عن حاجاته في مواقف مختلفة تعبيراً واضحاً. | التعبير عن الحاجات في مواقف حياتية بلغة سليمة وواضحة | يعبر عن حاجاته تعبيراً واضحاً ومترابطاً وبطلاقة مناسبة. | يعبر عن حاجاته تعبيراً مقبولاً مع بعض التوقف أو التردد. | يعبر عن حاجاته تعبيراً غير واضح أو غير مكتمل.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | محاورة الآخرين بلغة واضحة وسليمة. | إدارة حوار شفوي بسيط بلغة سليمة | يحاور الآخرين بلغة واضحة وسليمة وبأسلوب مترابط. | يحاور الآخرين بلغة بسيطة مع بعض الأخطاء أو التردد. | يواجه صعوبة في إجراء حوار واضح ومترابط.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | تقديم عرض تمثيلي لأدوار صور لوحة المحادثة بين الطلبة بصورة سليمة. | أداء أدوار تمثيلية وفق مشاهد المحادثة | يؤدي الأدوار التمثيلية أداءً واضحاً ومناسباً للموقف. | يؤدي الأدوار التمثيلية أداءً مقبولاً مع بعض الاضطراب. | يواجه صعوبة في أداء الأدوار التمثيلية بوضوح.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود ثلاثة أسطر. | استخدام كلمات وصفية عند الحديث عن الأشخاص أو الأماكن لتوضيح التفاصيل. | توظيف الصفات في وصف الأشخاص والأماكن توظيفاً مناسباً | يوظف الكلمات الوصفية توظيفاً دقيقاً يوضح المعنى ويثريه. | يوظف الكلمات الوصفية توظيفاً بسيطاً مع بعض النقص في الدقة. | يوظف كلمات وصفية محدودة دون توضيح كافٍ.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود ثلاثة أسطر. | تقديم تعليمات تتكون من أربع خطوات بسيطة وواضحة. | صياغة تعليمات شفوية متسلسلة من عدة خطوات | يقدم تعليمات واضحة ومنظمة من أربع خطوات مترابطة. | يقدم تعليمات تحتوي على بعض الخطوات مع اضطراب بسيط في التسلسل. | يقدم تعليمات غير مكتملة أو غير مرتبة.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود ثلاثة أسطر. | ربط الكلمات والجمل باستخدام حروف العطف "و" و"أو، الفاء، لتسلسل الأفكار. | استخدام أدوات الربط في بناء الجمل الشفوية | يستخدم أدوات الربط استخداماً صحيحاً لتسلسل الأفكار بوضوح. | يستخدم بعض أدوات الربط مع بعض الأخطاء أو التكرار. | يضعف في استخدام أدوات الربط لتسلسل الأفكار.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود ثلاثة أسطر. | اختيار الأفكار المناسبة والملائمة لموضوع الحديث من بين عدة أفكار معروضة. | انتقاء الأفكار المناسبة لموضوع الحديث | يختار الأفكار المناسبة بدقة ووعي لموضوع الحديث. | يختار بعض الأفكار المناسبة مع تردد أو نقص. | يواجه صعوبة في اختيار الأفكار المناسبة.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود ثلاثة أسطر. | تحديد معاني الكلمات ودلالاتها بناءً على الترادف والتشابه في المعنى. | تفسير المفردات في سياقات مختلفة | يحدد معاني الكلمات ودلالاتها بدقة ووضوح. | يحدد بعض المعاني مع بعض الأخطاء أو التردد. | يحتاج إلى دعم في تحديد معاني الكلمات ودلالاتها.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | إظهار الثقة بالنفس أثناء القراءة أمام المتعلمين وغيرهم. | القراءة الجهرية بثبات ووضوح أمام الجمهور | يقرأ أمام الآخرين بثقة ووضوح مع أداء صوتي مناسب. | يقرأ أمام الآخرين مع تردد بسيط يؤثر على الأداء. | يتردد أثناء القراءة ويظهر ضعفاً في المواجهة.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | اكتساب مهارات تقديم العرض اكتساباً جيداً مع الالتزام بالانضباط الذاتي. | تقديم عرض شفوي منظم مع ضبط السلوك الذاتي | يقدم عرضاً منظماً وواضحاً مع التزام كامل بالانضباط الذاتي. | يقدم عرضاً مقبولاً مع بعض الاضطراب في التنظيم أو الانضباط. | يواجه صعوبة في تقديم العرض أو الالتزام بالانضباط الذاتي.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | قراءة نصوص مكونة من (70-90) كلمة قراءة جهرية سليمة ومعبرة. | قراءة النصوص قراءة جهرية سليمة ومعبرة وفق الطول المحدد | يقرأ النص قراءة جهرية سليمة ومعبرة مع التزام دقة الأداء. | يقرأ النص قراءة مقبولة مع بعض التوقف أو الأخطاء. | يقرأ النص قراءة غير سليمة أو متقطعة.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | التزام قواعد التهجئة الصحيحة عند القراءة. | نطق الكلمات وفق القواعد الصوتية واللغوية | يلتزم بالتهجئة الصحيحة التزاماً دقيقاً أثناء القراءة. | يلتزم بالتهجئة الصحيحة التزاماً جزئياً. | يخطئ في تهجئة الكلمات أثناء القراءة.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | مراعاة علامات الترقيم أثناء القراءة. | استخدام الوقف والتنغيم وفق علامات الترقيم | يراعي علامات الترقيم بدقة أثناء القراءة. | يراعي بعض علامات الترقيم مع تردد أو أخطاء. | لا يراعي علامات الترقيم أثناء القراءة.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | استخدام نبرات صوت معبرة تتناسب مع المعاني. | تنويع النبرة الصوتية حسب المعنى | يستخدم نبرات صوت معبرة ومتنوعة وفق المعنى. | يستخدم نبرة صوت مناسبة أحياناً مع ضعف في التنويع. | يستخدم نبرة صوت واحدة دون تنويع مناسب.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | اكتساب ثروة لغوية (مفردات، وتراكيب وأنماط لغوية). | تنمية المفردات والتراكيب اللغوية | يوظف مفردات وتراكيب جديدة توظيفاً سليماً. | يوظف بعض المفردات والتراكيب توظيفاً جزئياً. | يستخدم مفردات محدودة دون توظيف مناسب.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | التفاعل مع النصوص من خلال الأنشطة المختلفة. | المشاركة في أنشطة فهم النصوص | يتفاعل مع النصوص تفاعلاً نشطاً وفعّالاً. | يتفاعل مع النصوص تفاعلاً متقطعاً. | يتفاعل تفاعلاً ضعيفاً مع النصوص.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | احترام أدوار الآخرين عند القراءة التناوبية. | الالتزام بدور القارئ والمستمع | يحترم الأدوار ويلتزم بها التزاماً كاملاً. | يحترم الأدوار مع بعض التذكير. | لا يلتزم بالأدوار في القراءة التناوبية.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | اكتساب مهارات التفكير الإبداعي والناقد وحل المشكلات في القراءتين الصامتة والجهرية. | توظيف مهارات التفكير في فهم النصوص | يوظف مهارات التفكير توظيفاً واضحاً وفعّالاً. | يوظف بعض المهارات توظيفاً جزئياً. | يواجه صعوبة في توظيف مهارات التفكير.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | الالتزام بالقيم الأخلاقية والاجتماعية المستخلصة من الأناشيد، كالتعاون والنظافة وحب الوطن..... | تطبيق القيم المستفادة من النصوص | يلتزم بالقيم التزاماً واضحاً في سلوكه. | يلتزم ببعض القيم في مواقف محددة. | يلتزم بالقيم التزاماً ضعيفاً.
القراءة | الوعي الصوتي، وتمييز الحروف والمقاطع. | التحليل الصوتي: تحليل الكلمات إلى مقاطع وأصوات وملاحظة الفروقات بينها. / الوعي اللغوي المبكر: هو مهارة حياتية أساسية تسهم في تعزيز مهارات القراءة والكتابة مستقبلاً. | تحليل البنية الصوتية للكلمات إلى مقاطع وأصوات | يحلل الكلمات تحليلاً صوتياً دقيقاً إلى مقاطع وأصوات ويلاحظ الفروقات بينها بوضوح. | يحلل الكلمات تحليلاً جزئياً مع ملاحظة بعض الفروقات. | يواجه صعوبة في تحليل الكلمات إلى مقاطع وأصوات.
القراءة | تذوق النص المقروء. | تنمية الحسّ الأدبي. | تذوق النصوص وإدراك جمالياتها العامة | يتذوق النصوص تذوقاً أدبياً واضحاً ويظهر حساً لغوياً جيداً. | يتذوق بعض الجوانب الأدبية في النصوص. | يواجه صعوبة في تذوق النصوص أدبياً.
القراءة | تذوق النص المقروء. | التفاعل الشعوري مع النّصّ. | الاستجابة الوجدانية لمضمون النص | يتفاعل شعورياً مع النص تفاعلاً واضحاً ومناسباً. | يتفاعل شعورياً مع النص في بعض المواقف. | تفاعله الشعوري مع النص محدود.
القراءة | تذوق النص المقروء. | التقدير الفني للجماليات اللّغوية. | إدراك الأساليب والصور الجمالية في النص | يقدر الجماليات اللغوية تقديراً واضحاً ويستدل عليها. | يقدر بعض الجماليات اللغوية جزئياً. | يواجه صعوبة في تقدير الجماليات اللغوية.
الكتابة | مراعاة ضوابط الكتابة العربية بكتابة جمل وفقرات بخطّ النسخ، والإملاء والعادات السليمة المصاحبة للكتابة. | تمييز أشكال الحروف في بداية الكلمة ووسطها وآخرها. | التعرف إلى صور الحرف وفق موقعه في الكلمة | يميز أشكال الحروف تمييزاً دقيقاً في جميع المواقع. | يميز معظم أشكال الحروف مع بعض التردد. | يواجه صعوبة في تمييز أشكال الحروف.
الكتابة | مراعاة ضوابط الكتابة العربية بكتابة جمل وفقرات بخطّ النسخ، والإملاء والعادات السليمة المصاحبة للكتابة. | مراعاة المسافات بين الكلمات التزام نظام السطر عند الكتابة بخط النسخ. | تنظيم الكتابة على السطر مع ضبط المسافات | يلتزم بالمسافات ونظام السطر التزاماً دقيقاً. | يلتزم جزئياً بنظام السطر مع بعض الاضطراب. | لا يلتزم بنظام السطر أو المسافات.
الكتابة | مراعاة ضوابط الكتابة العربية بكتابة جمل وفقرات بخطّ النسخ، والإملاء والعادات السليمة المصاحبة للكتابة. | الإتقان والجودة: بتحسين الخط وتنظيم الصفحة. | تحسين جودة الخط وتنظيم شكل الصفحة | يكتب بخط متقن ومنظم ويظهر عناية واضحة بالصفحة. | يكتب بخط مقبول مع بعض الاضطراب في التنظيم. | يكتب بخط غير منظم وضعيف الجودة.
الكتابة | كتابة كلمات وجمل ونصوص من (20) كلمة إملاء منظوراً وغير منظور، واختبارياً. | كتابة كلمات وجمل وفقرات إملائية إملاء منظوراً وغير منظور واختباري. / القضايا الإملائية الواردة: / أشكال التنوين (الضم، والفتح، والكسر)، وال الشمسية وال القمرية، وعلامات الترقيم (. ، ؟ ! :)، والتاء المربوطة، والتاء المبسوطة، والهاء المربوطة، والحرف المشدد، والتنوين والنون الأصلية. | إنتاج نصوص إملائية قصيرة من الإملاء المنظور وغير المنظور والاختباري | يكتب الإملاء كتابةً صحيحةً ودقيقةً في مختلف أنواعه. | يكتب الإملاء مع بعض الأخطاء المتكررة. | يكتب الإملاء مع أخطاء واضحة تؤثر في المعنى.
الكتابة | تنظيم محتوى الكتابة. | إعادة ترتيب كلمات مبعثرة معطاة من (6-7)؛ لتكوين جمل صحيحة. | إعادة بناء الجملة من كلمات مفككة لتكوين معنى صحيح | يعيد ترتيب الكلمات ترتيباً صحيحاً لتكوين جمل سليمة ودقيقة. | يعيد ترتيب معظم الكلمات مع بعض الاضطراب في المعنى. | يواجه صعوبة في ترتيب الكلمات لتكوين جملة صحيحة.
الكتابة | تنظيم محتوى الكتابة. | استخدام أدوات الربط المناسبة داخل الجمل. | توظيف أدوات الربط؛ لتكوين جمل مترابطة | يوظف أدوات الربط توظيفاً صحيحاً ومناسباً. | يوظف بعض أدوات الربط مع أخطاء جزئية. | يستخدم أدوات الربط استخداماً محدوداً أو غير صحيح.
الكتابة | تنظيم محتوى الكتابة. | تطبيق قواعد اللغة في ترتيب الكلمات لتكوين جمل مفيدة. | محاكاة الجملة وفق القواعد النحوية الأساسية | يحاكي الجمل محاكاة صحيحة وفق القواعد اللغوية. | يحاكي الجمل مع بعض الأخطاء النحوية. | يواجه صعوبة في محاكاة الجمل وفق القواعد.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | توظيف الكلمات المعطاة في جمل مفيدة تعبر عن معناها. | استخدام المفردات في سياق دال وواضح | يوظف الكلمات توظيفاً صحيحاً في جمل مفيدة تعبر عن معناها بدقة. | يوظف معظم الكلمات في جمل صحيحة مع بعض اللبس. | يواجه صعوبة في توظيف الكلمات في جمل مفيدة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | مراعاة سلامة الكتابة إملائياً ولغوياً | كتابة جمل سليمة إملائياً ولغوياً | يكتب جملاً سليمة إملائياً ولغوياً بدقة. | يكتب مع بعض الأخطاء الإملائية أو اللغوية. | يكتب مع أخطاء كثيرة تؤثر في الفهم.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | التعبير عن فكرة واضحة باستخدام مفردة مناسبة في سياق سليم وموقف حياتي. | اختيار المفردة المناسبة للتعبير عن الفكرة | يعبر عن الفكرة بمفردة مناسبة وسياق سليم وواضح، وموقف حياتي. | يعبر عن الفكرة مع بعض عدم الدقة في اختيار المفردة. | يواجه صعوبة في اختيار المفردة المناسبة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | صياغة جملة سليمة على الرغم من صعوبة الكلمة. | بناء جملة صحيحة باستخدام مفردات صعبة | يصوغ جملاً صحيحة حتى مع الكلمات الصعبة. | يصوغ جملاً صحيحة جزئياً مع بعض الأخطاء. | يواجه صعوبة في صياغة جمل صحيحة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | وصف محتوى الصورة بجملة مفيدة وواضحة. | التعبير عن الصورة بجملة وصفية واضحة | يصف الصورة بجملة واضحة ودقيقة. | يصف الصورة بجملة بسيطة مع بعض النقص. | يواجه صعوبة في وصف الصورة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | تكوين فقرة قصيرة تتألف من جمل مترابطة تعبر عن مضمون صور معطاة. | بناء فقرة مترابطة من عدة جمل | يكتب فقرة مترابطة وواضحة تعبر عن الصور. | يكتب فقرة جزئية الترابط مع بعض النقص. | يواجه صعوبة في تكوين فقرة مترابطة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | كتابة فقرة من ثلاثة أسطر تعبر عن موقف أو موضوع محدد. | إنتاج فقرة قصيرة حول فكرة واحدة | يكتب فقرة واضحة ومترابطة من ثلاثة أسطر. | يكتب فقرة بسيطة مع ضعف في الترابط. | يكتب فقرة غير مكتملة أو غير مترابطة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | اختيار كلمات وجمل وأفكار تعبر عن الموقف المعطى بأسلوبه. | انتقاء الأفكار المناسبة للتعبير الكتابي | يختار أفكاراً وكلمات مناسبة بدقة. | يختار بعض الأفكار المناسبة مع تردد. | يواجه صعوبة في اختيار الأفكار المناسبة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | استخدام علامات الترقيم المناسبة في الجملة. | توظيف علامات الترقيم توظيفاً صحيحاً | يستخدم علامات الترقيم استخداماً صحيحاً ودقيقاً. | يستخدم بعض علامات الترقيم جزئياً. | لا يلتزم بعلامات الترقيم.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | الربط بين الفكرة والصورة تعبيراً وفهماً. | تفسير الصورة وربطها بالفكرة | يربط الفكرة بالصورة ربطاً واضحاً ودقيقاً. | يربط بعض الأفكار بالصورة جزئياً. | يواجه صعوبة في الربط بين الفكرة والصورة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | إعادة ترتيب جمل معطاة من (4-5) جمل؛ لتكوين قصة قصيرة. | تنظيم الجمل في تسلسل قصصي منطقي | يرتب الجمل ترتيباً صحيحاً لبناء قصة مترابطة. | يرتب معظم الجمل مع بعض الاضطراب. | يواجه صعوبة في ترتيب الجمل.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | إعادة ترتيب الجمل وفق التسلسل الزمني للأحداث. | تنظيم الأحداث وفق تسلسل صحيح | يرتب الأحداث ترتيباً زمنياً أو منطقياً دقيقاً. | يرتب بعض الأحداث ترتيباً صحيحاً. | يواجه صعوبة في ترتيب الأحداث.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | إكمال نص قصصي بتركيبات لغوية معطاة. | استكمال النص باستخدام تراكيب مناسبة | يكمل النص بأسلوب مترابط وواضح. | يكمل النص مع بعض النقص في الترابط. | يواجه صعوبة في إكمال النص.
الأنماط اللغوية | توظيف التراكيب اللغوية في النصوص | توظيف التنوين، والشدة، والضمائر، والجملة الاسمية والفعلية، والسبب والنتيجة، والأضداد والمترادفات (دون تقعيد) في جمل ونصوص مترابطة. | استخدام التراكيب اللغوية في سياق كتابي | يوظف الأنماط بدقة في جمل ونصوص مترابطة. | يوظف معظم الأنماط مع بعض الأخطاء. | يوظف بعض الأنماط توظيفاً محدوداً.
