كفايات التربية الإسلامية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
كفايات الصف الثاني
[TABLE 1]
الكفاية الرئيسة | الكفايات الفرعية | المعايير | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء
تجسيد الأخلاق الحميدة والقيم المستمدة من سيرة الرسول ﷺ في الحياة اليومية. | تجسيد السلوك المسؤول في التعامل مع الحيوان، معبراً عن قيم الرحمة والرفق. | إظهار الرأفة بالحيوان من خلال ممارسات مسؤولة تراعي حقوقه وتحميه من الأذى. | يلتزم بسلوكيات عملية مسؤولة تعكس الرأفة بالحيوان وتحميه من الأذى. | يظهر اهتماماً بالحيوان، ويلتزم ببعض السلوكات التي تحميه من الأذى. | يبدي محاولات متقطعة لإظهار الرأفة بالحيوان وتجنّب إيذائه.
الإيمان بوحدانية الله تعالى عبر تأمل قدرته، وتعزيز التعلم الذاتي والتفكير الإبداعي في فهم الدين وتطبيقه. | التأمل في قدرة الله تعالى وعظمته. | ربط الظواهر الطبيعية المحيطة (الشمس، القمر، المخلوقات، الجبال، البحار) بعظمة الخالق وقدرته من خلال الملاحظة والتفكر الواعي. | يربط الظواهر الطبيعية بعظمة الخالق وقدرته من خلال إبداء ملاحظات وتأملات واعية ومتعمقة. | يربط بعض الظواهر الطبيعية بعظمة الخالق وقدرته من خلال إبداء ملاحظات. | يربط بعض الظواهر الطبيعية بعظمة الخالق وقدرته ربطاً عاماً دون إبداء ملاحظات.
الإيمان بوحدانية الله تعالى عبر تأمل قدرته، وتعزيز التعلم الذاتي والتفكير الإبداعي في فهم الدين وتطبيقه. | تنمية التفكير الذاتي والإبداعي في فهم الدين. | توظيف مهارات التحليل والاستنتاج المستقل للوصول إلى فهم عميق ومبتكر للمفاهيم الدينية (الله المعبود، الوحي، التشهد... ). | يُوظّف مهارات التحليل والاستنتاج بصورة مستقلة للوصول إلى فهم عميق ومبتكر للمفاهيم الدينية. | يوظّف مهارات التحليل والاستنتاج لفهم المفاهيم الدينية في معظم المواقف. | يُظهر محاولات أولية لتوظيف التحليل والاستنتاج في فهم المفاهيم الدينية.
الإيمان بوحدانية الله تعالى عبر تأمل قدرته، وتعزيز التعلم الذاتي والتفكير الإبداعي في فهم الدين وتطبيقه. | تطبيق تعاليم التوحيد في الحياة اليومية. | ممارسة السلوكات القائمة على عقيدة التوحيد كمنهج موجّه للتصرفات والقرارات اليومية. | يطبّق عقيدة التوحيد في سلوكاته وقراراته اليومية بصورة واعية ومسؤولة. | يُطبّق السلوكات المرتبطة بعقيدة التوحيد في معظم مواقفه اليومية. | يُظهر محاولات لتطبيق السلوكات القائمة على عقيدة التوحيد في حياته اليومية.
الإيمان بوحدانية الله تعالى عبر تأمل قدرته، وتعزيز التعلم الذاتي والتفكير الإبداعي في فهم الدين وتطبيقه. | تعزيز التعلم المستمر في الشؤون الدينية. | السعي الذاتي والمستدام لتطوير الحصيلة المعرفية والفقهية من مصادر موثوقة. |  |  | 
محبة الله والتقرب إليه بالأدعية والأذكار لتعزيز التواصل الروحي واللغوي مع الله والمحيط. | التعبير عن المحبة والتقرب إلى الله بالأدعية. | إظهار التودد والتقرب للخالق سبحانه من خلال اللجوء الصادق للدعاء والمناجاة. | يلجأ إلى الدعاء والمناجاة بصدق وانتظام تعبيراً عن التودد والتقرب إلى الله تعالى. | يلجأ إلى الدعاء والمناجاة في معظم المواقف تعبيراً عن التقرب إلى الله تعالى. | يلجأ إلى الدعاء والمناجاة أحياناً تعبيراً عن التقرب إلى الله تعالى.
محبة الله والتقرب إليه بالأدعية والأذكار لتعزيز التواصل الروحي واللغوي مع الله والمحيط. | تعزيز التواصل الروحي مع الله من خلال الذكر. | توثيق الصلة الإيمانية بالخالق سبحانه من خلال المداومة الواعية على الأذكار المأثورة( دعاء دخول المسجد والخروج منه...) | يواظب على الأذكار المأثورة بوعي وانتظام تعزيزاً لصلته بالله تعالى. | يواظب على الأذكار المأثورة في معظم الأوقات تعزيزاً لصلته بالله تعالى. | يواظب على بعض الأذكار المأثورة أحياناً تعزيزاً لصلته بالله تعالى.
إتقان أداء الصلاة مع إدراك أثرها في تهذيب السلوك الحياتي. | تطبيق الصلاة تطبيقاً عملياً مع الالتزام بالخشوع والدقة. | أداء أركان الصلاة وسننها بدقة حركية ونطق صحيح مع إظهار السكينة والخشوع. | يطبق الصلاة عملياً بخشوع ودقة تامة. | يصلي الصلاة كاملة مع تذكير بسيط ببعض السنن. | أداؤه للصلاة حركي يفتقر للخشوع والدقة.
إتقان أداء الصلاة مع إدراك أثرها في تهذيب السلوك الحياتي. | الحرص على أداء الصلاة في وقتها إدراكاً للمسؤولية تجاه العبادة والانضباط. | تنظيم الوقت اليومي والالتزام بالاستجابة الفورية لنداء الصلاة بدافعية ذاتية. | يواظب على الصلاة في وقتها بانضباط ومسؤولية. | يحرص على أوقات الصلاة غالباً. | يقصّر في أداء بوقتها.
إتقان أداء الصلاة مع إدراك أثرها في تهذيب السلوك الحياتي. | الالتزام بآداب المسجد قولاً وسلوكاً. | مراعاة حرمة المسجد والمحافظة على سكينة المكان بالقول والفعل | يلتزم بآداب المسجد قولاً وسلوكاً. | يلتزم بآداب المسجد مع تنبيه يسير. | تطبيقه لآداب المسجد متذبذب ويحتاج إلى رقابة.
تنمية السلوكات الأخلاقية والاجتماعية الواعية والمسؤولة. | تطوير مهارات التفكير النقدي لفهم أهمية الصدق في القول في المواقف اليومية. | تحليل آثار الصدق وعواقب الكذب لتبني خيار الصدق كقيمة سلوكية ثابتة. | يلتزم بالصدق سلوكاً دائماً. | يلتزم بالصدق في المواقف اليومية غالباً. | يتردد في قول الصدق عند الخوف.
تنمية السلوكات الأخلاقية والاجتماعية الواعية والمسؤولة. | إظهار القدرة على الاعتماد على النفس في أداء المهام المختلفة، بما يعزز الثقة وتحمل المسؤولية. | تنفيذ المهام والواجبات باستقلالية وثقة تامة تعكس الوعي بالمسؤولية الشخصية. | يعتمد على نفسه تماماً في أداء مهامه. | يعتمد على نفسه في أداء معظم المهام. | يعتمد على نفسه جزئياً.
تنمية السلوكات الأخلاقية والاجتماعية الواعية والمسؤولة. | الالتزام بالآداب في التعامل والتواصل مع الآخرين في مواقف متعددة، مثل الدخول أو الحديث. | تطبيق الآداب الاجتماعية (آداب الدخول، والحديث) في التواصل الشفهي والسلوكي مع المحيطين. | يطبق آداب الدخول والتواصل مع الآخرين تطبيقاً متميزاً. | يطبق بعض آداب الدخول والتواصل مع الآخرين بوضوح. | يحتاج لتذكير مستمر بآداب الدخول والتواصل مع الآخرين.
تمثل آداب تلاوة القرآن الكريم فهماً وتطبيقاً يعكس الوعي والالتزام بالسلوك اللائق أثناء التلاوة. | معرفة آداب تلاوة القرآن، والتزامها سلوكياً ووجدانياً. | الالتزام بآداب تلاوة القرآن الكريم (الطهارة، استقبال القبلة، الخشوع، استقبال القبلة، الإنصات عند الإستماع) سلوكياً ووجدانياً. | يلتزم بآداب التلاوة دائماً. | يلتزم بآداب التلاوة غالباً. | يلتزم بآداب التلاوة أحياناً.
تمثل آداب تلاوة القرآن الكريم فهماً وتطبيقاً يعكس الوعي والالتزام بالسلوك اللائق أثناء التلاوة. | احترام الآخرين في التلاوة الجماعية. | مراعاة حقوق الزملاء والانسجام معهم أثناء القراءة المشتركة للقرآن الكريم. | يضبط نبرة صوته بما يتناسب مع الموقف باستمرار. | يضبط نبرة صوته بما يتناسب مع الموقف غالباً. | ضبط نبرة صوته بما يتناسب مع الموقف أحياناً.
تمثل آداب تلاوة القرآن الكريم فهماً وتطبيقاً يعكس الوعي والالتزام بالسلوك اللائق أثناء التلاوة. | التهيؤ النفسي والبدني قبل التلاوة. | الاستعداد السلوكي والجسدي لاستقبال كلام الله والبدء بالتلاوة المنضبطة. | يستعد ذهنياً وجسدياً لبدء التلاوة باستمرار. | يستعد ذهنياً وجسدياً لبدء التلاوة غالباً. | يستعد ذهنياً وجسدياً لبدء التلاوة أحياناً.
تمثل آداب تلاوة القرآن الكريم فهماً وتطبيقاً يعكس الوعي والالتزام بالسلوك اللائق أثناء التلاوة. | إظهار التوقير مع آيات القرآن. | التفاعل بالاحترام والخشوع عند سماع وتلاوة آيات القرآن الكريم. | يتفاعل مع آيات القرآن الكريم باحترام وخشوع دائم، دون الحاجة لتذكير. | يتفاعل مع آيات القرآن الكريم باحترام وخشوع غالباً، مع تنبيه بسيط لتركيز الانتباه. | يتفاعل مع آيات القرآن الكريم باحترام وخشوع أحياناً، محتاجاً تذكيراً مستمراً بالتهيؤ والتوقير.
