كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الرابع
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
الاستماع | فهم المسموع وتحليله. | تحديد القيم الإيجابية في النص المسموع. | استخراج القيم السلوكية من النص المسموع | يستخلص القيم الإيجابية بوضوح ودقة. | يستخلص بعض القيم الإيجابية جزئياً. | يواجه صعوبة في تحديد القيم الإيجابية.
الاستماع | التفاعل الإيجابي مع المسموع. | إبداء الرأي في محتوى النص المسموع. | التعبير عن الموقف من مضمون النص | يبدي رأيه بوضوح مع تبرير مناسب لمحتوى النص. | يبدي رأيه مع تبرير جزئي أو بسيط. | يبدي رأياً عاماً دون تبرير واضح.
الاستماع | التفاعل الإيجابي مع المسموع. | المقارنة بين ما استمع ﺇليه وما توقعه. | مقارنة التوقعات بمضمون النص الفعلي | يقارن بين توقعاته ومضمون النص مقارنة دقيقة. | يقارن بين التوقعات والمضمون مقارنة جزئية. | يواجه صعوبة في إجراء المقارنة.
الاستماع | التفاعل الإيجابي مع المسموع. | التعبير عن المشاعر تجاه المضمون المسموع. | إظهار الانفعال الوجداني تجاه النص | يعبر عن مشاعره تجاه النص تعبيراً واضحاً ومناسباً. | يعبر عن مشاعره تعبيراً جزئياً. | يعبر عن مشاعره تعبيراً محدوداً أو غير واضح.
الاستماع | التفاعل الإيجابي مع المسموع. | إعادة سرد نص الاستماع شفوياً أو كتابياً بلغة واضحة، والتحدث أمام الآخرين. | إعادة عرض محتوى النص بأسلوب منظم وواضح | يعيد سرد النص سرداً واضحاً ومترابطاً أمام الآخرين. | يعيد سرد النص مع بعض الاضطراب أو النقص. | يحتاج إلى دعم في إعادة سرد النص أو عرضه.
الاستماع | تذوق المسموع وتقييمه. | التفكير النقدي بتقييم الأحداث والشخصيات والمواقف في النصوص. | تقييم عناصر النص المسموع نقدياً | يقيم الأحداث والشخصيات والمواقف تقييماً نقدياً واضحاً مع تبرير مناسب. | يقيم بعض العناصر مع تبرير جزئي أو غير مكتمل. | يواجه صعوبة في تقويم الأحداث والشخصيات.
الاستماع | تذوق المسموع وتقييمه. | حلّ المشكلات بتحديد المشكلة في النص واقتراح حلول بديلة لها. | تحليل المشكلة في النص واقتراح حلول مناسبة | يحدد المشكلة بدقة ويقترح حلولاً بديلة ومنطقية. | يحدد المشكلة ويقترح بعض الحلول مع تفاوت في الدقة. | يواجه صعوبة في تحديد المشكلة أو اقتراح حلول.
الاستماع | تذوق المسموع وتقييمه. | التفكير الإبداعي: (توليد أفكار بديلة، المرونة الذهنية، الطلاقة في التعبير، وابتكار جمل جديدة باستخدام الكلمات الجديدة في النص). | إنتاج أفكار وجمل مبتكرة مرتبطة بالنص | يولد أفكاراً متعددة ويبتكر جملاً جديدة باستخدام مفردات النص. | يولد بعض الأفكار ويستخدم المفردات في جمل بسيطة. | يولد أفكاراً قليلة ويصعب عليه توظيف المفردات.
الاستماع | تذوق المسموع وتقييمه. | القدرة على التحليل والتفسير. | تحليل عناصر النص وتفسير معانيه | يحلل النص ويفسره تحليلاً واضحاً ودقيقاً. | يحلل النص مع بعض التفسير غير المكتمل. | يواجه صعوبة في تحليل النص أو تفسيره.
الاستماع | تذوق المسموع وتقييمه. | ربط المفاهيم المستمعة بمواقف حياتية مختلفة أو مشابهة. | توظيف المفاهيم في مواقف حياتية واقعية | يربط المفاهيم بمواقف حياتية بوضوح ودقة. | يربط بعض المفاهيم بمواقف حياتية مع بعض التردد. | يواجه صعوبة في ربط المفاهيم بالمواقف الحياتية.
المحادثة والتعبير الشفوي | الالتزام بآداب الحوار والمناقشة. | الاستماع للآخرين دون مقاطعة، وخفض الصوت والتحدث بوضوح، واحترام الرأي الآخر، والنظر إلى المتحدث، وعدم رفع الصوت عند الاختلاف، والجلوس بانضباط أثناء الحديث، والرد المناسب، واحترام الحوار مع الآخرين. | الالتزام بسلوكات الحوار والاستماع الفعّال في المواقف الصفية | يلتزم بسلوكات الحوار التزاماً كاملاً ويستمع ويتحدث باحترام ووضوح. | يلتزم بسلوكات الحوار التزاماً جزئياً مع بعض التذكير. | يلتزم بسلوكات الحوار التزاماً ضعيفاً ويحتاج إلى توجيه مستمر.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الاستماع للآخرين باهتمام. | الإصغاء الفعّال في المواقف التواصلية | يصغي للآخرين إصغاءً دقيقاً ويظهر تركيزاً واضحاً. | يصغي للآخرين مع بعض التشتت أو الحاجة للتذكير. | يصغي إصغاءً ضعيفاً ولا يحافظ على التركيز.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | الرد على الأسئلة والمداخلات. | تقديم إجابات شفوية مناسبة أثناء الحوار | يجيب إجابات واضحة ومترابطة ومناسبة للسياق. | يجيب إجابات قصيرة مع بعض التردد أو النقص. | يواجه صعوبة في تقديم إجابات مناسبة.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | احترام آراء الآخرين. | تقبل الآراء المختلفة أثناء الحوار | يظهر احتراماً واضحاً لآراء الآخرين ويتقبلها بمرونة. | يظهر احتراماً جزئياً لآراء الآخرين. | يواجه صعوبة في احترام آراء الآخرين.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | توجيه التعليمات والإرشادات الشفوية للآخرين بلغة سليمة. | إعطاء تعليمات شفوية واضحة ومترابطة | يوجه تعليمات واضحة ومنظمة بلغة سليمة ومترابطة. | يوجه تعليمات بسيطة مع بعض الاضطراب اللغوي. | يوجه تعليمات غير واضحة أو غير مكتملة.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | العمل الجماعي. | المشاركة الفعالة في الأنشطة الجماعية | يشارك بفاعلية والتزام في العمل الجماعي. | يشارك مشاركة متقطعة في العمل الجماعي. | يشارك مشاركة ضعيفة في العمل الجماعي.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | احترام التنوع: بتنوع الآراء والتجارب الشخصية. | تقبل الاختلاف بين الأفراد | يتقبل تنوع الآراء والتجارب تقبلاً إيجابياً. | يتقبل بعض الآراء مع تردد أو تحفظ. | يواجه صعوبة في تقبل الاختلاف.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | بناء علاقات إيجابية. | التفاعل الاجتماعي الإيجابي مع الزملاء | يبني علاقات إيجابية واضحة مع الآخرين. | يبني علاقات محدودة مع بعض الزملاء. | يواجه صعوبة في بناء علاقات إيجابية.
المحادثة والتعبير الشفوي | التواصل الفعال مع الزملاء والمعلم أثناء المحادثة. | توظيف المكتسبات من الثروة اللغوية في أثناء حديثه توظيفا سليما. | استخدام المفردات والتراكيب في المواقف الشفوية | يوظف المفردات والتراكيب توظيفاً سليماً وواضحاً. | يوظف بعض المفردات والتراكيب جزئياً. | يواجه صعوبة في توظيف المفردات والتراكيب.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | التعبير الشفوي بطلاقة عن حاجاته في مواقف مختلفة تعبيرا واضحا. | التعبير عن الحاجات في مواقف حياتية بلغة سليمة وواضحة | يعبر عن حاجاته تعبيراً واضحاً وطليقاً ومترابطاً. | يعبر عن حاجاته تعبيراً واضحاً مع بعض التردد أو التوقف. | يعبر عن حاجاته تعبيراً غير واضح أو غير مكتمل.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | محاورة الآخرين بلغة واضحة وسليمة. | إدارة حوار شفوي بسيط بلغة سليمة | يحاور الآخرين بلغة واضحة وسليمة وبأسلوب مترابط. | يحاور الآخرين بلغة بسيطة مع بعض الأخطاء أو التردد. | يواجه صعوبة في إجراء حوار واضح ومترابط.
المحادثة والتعبير الشفوي | تنظيم محتوى الحديث وتسلسله منطقياً ومترابطاً يُناسب الموضوع المطروح. | تقديم عرض تمثيلي لأدوار الصور بين الطلبة بصورة سليمة. | أداء أدوار تمثيلية وفق مشاهد المحادثة وصورها | يؤدي الأدوار التمثيلية أداءً واضحاً ومناسباً للموقف. | يؤدي الأدوار التمثيلية أداءً مقبولاً مع بعض الاضطراب. | يواجه صعوبة في أداء الأدوار التمثيلية بوضوح.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود فقرة. | استخدام كلمات وصفية عند الحديث عن الأشخاص أو الأماكن لتوضيح التفاصيل. | توظيف الصفات في وصف الأشخاص والأماكن | يوظف الكلمات الوصفية توظيفاً دقيقاً وواضحاً. | يوظف الكلمات الوصفية توظيفاً جزئياً مع بعض النقص. | يوظف كلمات وصفية محدودة دون توضيح كافٍ.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود فقرة. | تقديم تعليمات تتكون من خمس خطوات بسيطة وواضحة. | صياغة تعليمات شفوية متسلسلة من عدة خطوات | يقدم تعليمات منظمة وواضحة من خمس خطوات مترابطة. | يقدم تعليمات تحتوي على معظم الخطوات مع بعض الاضطراب. | يقدم تعليمات غير مكتملة أو غير مرتبة.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود فقرة. | ربط الكلمات والجمل باستخدام حروف العطف (و" و"أو"، والفاء، وثمّ)؛ لتسلسل الأفكار. | استخدام أدوات الربط في بناء الجمل الشفوية | يستخدم أدوات الربط استخداماً صحيحاً ومتنوّعاً لتسلسل الأفكار. | يستخدم بعض أدوات الربط مع بعض الأخطاء أو التكرار. | يضعف في استخدام أدوات الربط لتسلسل الأفكار.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود فقرة. | استنباط أفكار النص. | استخراج الأفكار من النص المسموع أو المقروء | يستنبط أفكار النص بدقة ووضوح. | يستنبط بعض أفكار النص مع تفاوت في الدقة. | يواجه صعوبة في استنباط أفكار النص.
المحادثة والتعبير الشفوي | بناء كلمات وجمل ونص في حدود فقرة. | تحديد معاني الكلمات ودلالاتها بناءً على الترادف والتشابه في المعنى. | تفسير المفردات في سياقات مختلفة | يحدد معاني الكلمات ودلالاتها بدقة ووضوح. | يحدد بعض المعاني مع بعض التردد أو الأخطاء البسيطة. | يواجه صعوبة في تحديد معاني الكلمات ودلالاتها.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | إظهار الثقة بالنفس أثناء القراءة أمام المتعلمين وغيرهم. | القراءة الجهرية بثبات وثقة أمام الجمهور | يقرأ أمام الآخرين بثقة ووضوح مع أداء صوتي مناسب. | يقرأ أمام الآخرين مع بعض التردد أو الارتباك. | يتردد أثناء القراءة ويواجه صعوبة في المواجهة.
القراءة | مراعاة العادات السليمة المصاحبة للقراءة الجهرية. | اكتساب مهارات تقديم العرض اكتساباً جيداً مع الالتزام بالانضباط الذاتي. | تقديم عرض شفوي منظم مع ضبط السلوك الذاتي | يقدم عرضاً منظماً وواضحاً مع التزام كامل بالانضباط الذاتي. | يقدم عرضاً مقبولاً مع بعض الاضطراب في التنظيم أو الانضباط. | يواجه صعوبة في تقديم العرض أو الالتزام بالانضباط الذاتي.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | قراءة نصوص من 100-120 كلمة قراءة جهرية سليمة معبرة. | قراءة النصوص قراءة جهرية سليمة وفق الطول المحدد | يقرأ النص قراءة سليمة ومعبرة ومتقنة. | يقرأ النص قراءة مقبولة مع بعض الأخطاء أو التوقف. | يقرأ النص قراءة ضعيفة أو غير متصلة.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | التزام قواعد التهجئة الصحيحة عند القراءة. | نطق الكلمات وفق القواعد الصوتية واللغوية | يلتزم بالتهجئة الصحيحة التزاماً دقيقاً أثناء القراءة. | يلتزم بالتهجئة الصحيحة التزاماً جزئياً. | يخطئ في التهجئة خطأ متكرراً.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | استخدام نبرات صوت معبرة تتناسب مع المعاني. | تنويع النبرة الصوتية حسب المعنى | يستخدم نبرات صوت معبرة ومتنوعة وفق المعنى. | يستخدم نبرة صوت مناسبة أحياناً مع ضعف في التنويع. | يستخدم نبرة صوت واحدة دون تنويع.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | اكتساب ثروة لغوية (مفردات، وتراكيب وأنماط لغوية). | تنمية المفردات والتراكيب اللغوية | يوظف مفردات وتراكيب جديدة توظيفاً سليماً. | يوظف بعض المفردات والتراكيب مع بعض التردد. | يستخدم مفردات محدودة وغير متنوعة.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | التفاعل مع النصوص من خلال الأنشطة المختلفة. | المشاركة في أنشطة فهم النصوص | يتفاعل مع النصوص تفاعلاً نشطاً وفعّالاً. | يتفاعل مع النصوص تفاعلاً متقطعاً. | يتفاعل مع النصوص تفاعلاً ضعيفاً.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | اكتساب مهارات التفكير الإبداعي والناقد وحل المشكلات في القراءتين الصامتة والجهرية. | توظيف مهارات التفكير في فهم النصوص | يوظف مهارات التفكير توظيفاً واضحاً وفعّالاً. | يوظف بعض المهارات توظيفاً جزئياً. | يواجه صعوبة في توظيف مهارات التفكير.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | الالتزام بالقيم الأخلاقية والاجتماعية المستخلصة من الأناشيد، كالتعاون والنظافة وحب الوطن، .... | تطبيق القيم المستفادة من النصوص | يلتزم بالقيم التزاماً واضحاً في سلوكه. | يلتزم ببعض القيم في مواقف محددة. | يلتزم بالقيم التزاماً ضعيفاً.
القراءة | الوعي الصوتي، وتمييز الحروف والمقاطع. | التحليل الصوتي: تحليل الكلمات إلى مقاطع وأصوات وملاحظة الفروقات بينها. / الوعي اللغوي المبكر: هو مهارة حياتية أساسية تسهم في تعزيز مهارات القراءة والكتابة مستقبلاً. | تحليل البنية الصوتية للكلمات إلى مقاطع وأصوات | يحلل الكلمات تحليلاً صوتياً دقيقاً إلى مقاطع وأصوات ويلاحظ الفروقات بينها بوضوح. | يحلل الكلمات تحليلاً جزئياً مع ملاحظة بعض الفروقات. | يواجه صعوبة في تحليل الكلمات إلى مقاطع وأصوات.
القراءة | تذوق النص المقروء. | تنمية الحسّ الأدبي. | تذوق النصوص وإدراك جمالياتها | يتذوق النصوص تذوقاً أدبياً واضحاً ويظهر حساً لغوياً جميلاً. | يتذوق بعض الجوانب الأدبية في النصوص. | يواجه صعوبة في تذوق النصوص أدبياً.
القراءة | تذوق النص المقروء. | التفاعل الوجداني. | الاستجابة الشعورية لمحتوى النص | يتفاعل وجدانياً مع النص تفاعلاً واضحاً ومناسباً. | يتفاعل وجدانياً مع النص في بعض المواقف. | تفاعله الوجداني محدود أو غير واضح.
القراءة | تذوق النص المقروء. | التقدير الفني للأساليب. | إدراك الجماليات اللغوية والأسلوبية في النص | يقدر الأساليب اللغوية والجماليات تقديراً واضحاً ودقيقاً. | يقدر بعض الجماليات اللغوية جزئياً. | يواجه صعوبة في تقدير الأساليب والجماليات.
الكتابة | مراعاة ضوابط الكتابة العربية بكتابة جمل وفقرات بخطّ النسخ، والإملاء والعادات السليمة المصاحبة للكتابة. | تمييز أشكال الحروف في بداية الكلمة ووسطها وآخرها. | التعرف إلى صور الحرف وفق موقعه في الكلمة | يميز أشكال الحروف تمييزاً دقيقاً في جميع المواقع. | يميز معظم أشكال الحروف مع بعض التردد. | يواجه صعوبة في تمييز أشكال الحروف.
الكتابة | مراعاة ضوابط الكتابة العربية بكتابة جمل وفقرات بخطّ النسخ، والإملاء والعادات السليمة المصاحبة للكتابة. | مراعاة المسافات بين الكلمات التزام نظام السطر عند الكتابة بخط النسخ. | تنظيم الكتابة على السطر وضبط المسافات | يلتزم بالمسافات ونظام السطر التزاماً دقيقاً ومنظماً أثناء الكتابة بخط النسخ. | يلتزم جزئياً بنظام السطر مع بعض الاضطراب. | لا يلتزم بنظام السطر أو المسافات.
الكتابة | مراعاة ضوابط الكتابة العربية بكتابة جمل وفقرات بخطّ النسخ، والإملاء والعادات السليمة المصاحبة للكتابة. | الإتقان والجودة؛ بتحسين الخط وتنظيم الصفحة. | تحسين جودة الخط وإخراج الصفحة | يكتب بخط متقن ومنظم ويظهر عناية واضحة بالصفحة. | يكتب بخط مقبول مع بعض الاضطراب في التنظيم. | يكتب بخط ضعيف وغير منظم.
الكتابة | كتابة كلمات وتراكيب وجمل ونصوص من (20-30) كلمة إملاء غير منظور واختبارياً. | كتابة كلمات وجمل وفقرات إملاء غير منظور. / القضايا الإملائية الواردة:  / ال الشمسية وال القمرية، وأشكال التنوين (الضم والفتح والكسر)، والتاء المربوطة والمبسوطة والهاء المربوطة، وهمزتا الوصل والقطع، وكتابة علامات الترقيم (. ، ؟ ! :). | إنتاج نصوص إملائية من الإملاء غير المنظور والاختباري | يكتب الإملاء غير المنظور والاختباري كتابةً صحيحة ودقيقة. | يكتب الإملاء غير المنظور والاختباري مع بعض الأخطاء الإملائية. | يكتب مع أخطاء متكررة تؤثر في المعنى.
الكتابة | كتابة كلمات وتراكيب وجمل ونصوص من (20-30) كلمة إملاء غير منظور واختبارياً. | استخدام القواعد الإملائية في كتاباته المختلفة. | تطبيق القواعد الإملائية في الكتابة | يطبق القواعد الإملائية تطبيقاً صحيحاً. | يطبق القواعد الإملائية مع بعض الأخطاء. | يواجه صعوبة في تطبيق القواعد الإملائية أثناء الكتابة.
الكتابة | كتابة كلمات وتراكيب وجمل ونصوص من (20-30) كلمة إملاء غير منظور واختبارياً. | مراعاة تنظيم الكتابة باستخدام علامات الترقيم. | تنظيم النص باستخدام علامات الترقيم | ينظم كتابته باستخدام علامات الترقيم بدقة. | ينظم الكتابة جزئياً مع بعض النقص. | لا ينظم الكتابة باستخدام علامات الترقيم.
الكتابة | كتابة كلمات وتراكيب وجمل ونصوص من (20-30) كلمة إملاء غير منظور واختبارياً. | الانتباه للتفاصيل؛ بتمييز المتعلم بين التاء المربوطة والهاء آخر الكلمات، وألف تنوين النصب. | التدقيق في التفاصيل الإملائية الدقيقة | يلاحظ التفاصيل الإملائية المتعلقة بالتاء المربوطة والهاء، وألف تنوين النصب بدقة عالية. | يلاحظ بعض التفاصيل مع التردد. | يفتقد الانتباه للتفاصيل الإملائية.
الكتابة | كتابة كلمات وتراكيب وجمل ونصوص من (20-30) كلمة إملاء غير منظور واختبارياً. | التنظيم؛ بتنسيق المتعلم الفقرة الإملائية مستخدماً علامات الترقيم المناسبة. | تنظيم الفقرة باستخدام علامات الترقيم | ينظم الفقرة تنظيماً دقيقاً وواضحاً. | ينظم الفقرة جزئياً. | لا ينظم الفقرة بوضوح.
الكتابة | كتابة كلمات وتراكيب وجمل ونصوص من (20-30) كلمة إملاء غير منظور واختبارياً. | إدارة الوقت؛ بإنهاء المتعلم الفقرة الإملائية في الوقت المحدد دون استعجال أو تأخير. | إنجاز المهمة ضمن الوقت المحدد | ينجز الإملاء في الوقت المحدد بدقة. | ينجز الإملاء مع بعض التأخير البسيط. | لا ينجز الإملاء ضمن الوقت المحدد.
الكتابة | تنظيم محتوى الكتابة. | إعادة ترتيب كلمات مبعثرة معطاة من (6-7) كلمات؛ لتكوين جمل صحيحة. | إعادة بناء الجملة من كلمات مفككة | يعيد ترتيب الكلمات ترتيباً صحيحاً؛ لتكوين جمل سليمة ودقيقة. | يعيد ترتيب معظم الكلمات مع بعض الاضطراب في المعنى. | يواجه صعوبة في ترتيب الكلمات لتكوين جملة صحيحة.
الكتابة | تنظيم محتوى الكتابة. | استخدام أدوات الربط المناسبة في الجمل. | توظيف أدوات الربط في بناء الجمل | يوظف أدوات الربط توظيفاً صحيحاً ومناسباً. | يوظف بعض أدوات الربط مع بعض الأخطاء. | يضعف في استخدام أدوات الربط استخداماً صحيحاً.
الكتابة | تنظيم محتوى الكتابة. | تطبيق قواعد اللغة في ترتيب الكلمات لتكوين جمل مفيدة. | بناء الجملة وفق محاكاة القواعد النحوية الأساسية | يبني الجمل بناءً صحيحاً وفق محاكاة القواعد اللغوية. | يبني الجمل مع بعض الأخطاء النحوية. | يواجه صعوبة في بناء الجمل وفق محاكاة القواعد النحوية.
الكتابة | تنظيم محتوى الكتابة. | مراعاة علامات الترقيم (النقطة، والفاصلة، والنقطتان الرأسيتان، وعلامة التعجب، وعلامة الاستفهام، والفاصلة المنقوطة). | استخدام علامات الترقيم في الكتابة | يوظف علامات الترقيم الواردة توظيفاً صحيحاً ومنظماً. | يوظف بعض علامات الترقيم الواردة مع أخطاء بسيطة. | لا يوظف علامات الترقيم توظيفاً صحيحاً.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | التفكير الإبداعي والتحريري. | إنتاج أفكار مكتوبة بأسلوب مبتكر | ينتج أفكاراً مكتوبة مبتكرة وواضحة. | ينتج أفكاراً بسيطة مع بعض الابتكار. | ينتج أفكاراً محدودة وغير واضحة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | تنظيم الأفكار وترتيبها كتابياً. | عرض الأفكار عرضاً متسلسلاً ومنظماً | ينظم الأفكار ويرتبها ترتيباً واضحاً ومترابطاً. | ينظم بعض الأفكار مع اضطراب بسيط. | يواجه صعوبة في تنظيم الأفكار.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | إيصال الرسائل بلغة سليمة وواضحة. | التعبير الكتابي الواضح والمفهوم | يوصل الرسائل بلغة سليمة وواضحة ودقيقة. | يوصل الرسائل مع بعض الغموض أو الأخطاء. | يواجه صعوبة في إيصال الرسائل بوضوح.
الأنماط اللغوية | توظيف الأنماط اللغوية المتقدمة في التعبير | توظيف أسماء الإشارة والموصول الكاملة، والضمائر، وحروف الجر، واسم الفاعل، واسم المفعول، وأقسام الكلمة، والجملة الاسمية والفعلية (دون تقعيد) في سياقات متنوعة. | تمييز التراكيب اللغوية والنحوية، وتوظيفها في سياقات متنوعة. | يوظف الأنماط بدقة، وينوّعها في فقرات مترابطة. | يوظف معظم الأنماط مع أخطاء بسيطة. | يميز بعض الأنماط، ويوظفها توظيفاً محدوداً.
